Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2020-01-06,@,ORL,L,89,101,88.3,100.2,100.7,.198,.490,.426,43.4,62.5,10.9,1.8,,.385,10.3,19.7,.156,,.481,16.0,75.6,.284
36,36,2020-01-07,,OKC,L,103,111,94.5,101.9,98.7,.163,.378,.490,50.5,47.5,4.6,9.1,,.464,13.9,20.4,.122,,.473,12.5,83.7,.261
37,37,2020-01-10,,MIA,W,117,113,122.3,118.1,95.7,.204,.473,.577,56.0,68.9,5.2,7.1,,.565,8.2,28.0,.129,,.559,6.9,90.2,.212
38,38,2020-01-12,,ATL,W,108,86,101.0,80.5,106.9,.377,.338,.602,65.3,61.0,7.5,4.1,,.597,21.1,19.4,.208,,.392,10.5,93.2,.103
39,39,2020-01-14,,UTA,L,107,118,110.7,122.0,96.7,.167,.289,.554,51.2,48.9,4.1,7.1,,.544,11.0,24.4,.100,,.571,7.5,82.1,.141
40,40,2020-01-15,@,PHI,L,106,117,107.8,118.9,98.4,.345,.287,.529,47.3,52.6,9.1,1.7,,.506,11.5,23.4,.207,,.574,10.8,71.7,.182
41,41,2020-01-18,,MIL,L,97,117,88.8,107.1,109.2,.172,.495,.455,46.5,69.7,10.1,13.5,,.409,13.8,19.7,.162,,.601,17.2,87.5,.112
42,42,2020-01-20,,PHI,L,111,117,108.0,113.8,102.8,.420,.358,.578,52.2,56.4,6.8,3.6,,.549,18.7,29.5,.272,,.516,10.2,73.9,.213
43,43,2020-01-23,,LAL,L,113,128,108.4,122.8,104.3,.165,.505,.579,44.1,75.0,11.5,5.4,,.555,14.1,16.3,.132,,.601,12.7,75.0,.160
44,44,2020-01-25,@,DET,W,121,111,118.1,108.3,92.8,.266,.447,.576,51.4,45.2,2.9,7.2,,.527,8.7,22.4,.234,,.476,6.7,75.9,.115
45,45,2020-01-26,@,NYK,L,97,110,102.0,115.7,95.1,.284,.481,.532,41.5,61.8,6.3,5.5,,.500,13.3,17.1,.198,,.565,11.7,65.9,.065
46,46,2020-01-29,,DET,W,125,115,127.0,116.9,98.4,.353,.459,.636,47.4,60.5,8.1,12.3,,.594,8.4,20.0,.282,,.566,14.4,76.3,.253
47,47,2020-01-31,,CHI,W,133,118,131.5,116.6,101.2,.313,.388,.731,49.3,62.0,7.9,9.6,,.719,18.0,15.6,.225,,.558,11.8,74.4,.256
48,48,2020-02-01,@,WAS,L,107,113,105.5,111.4,101.4,.223,.500,.518,51.0,64.1,4.9,10.3,,.500,12.7,26.7,.138,,.485,7.5,69.5,.160
49,49,2020-02-03,,PHO,W,119,97,119.6,97.5,99.5,.236,.382,.606,50.6,65.1,8.0,6.8,,.567,14.8,25.6,.202,,.467,14.0,70.8,.144
50,50,2020-02-05,,GSW,W,129,88,126.8,86.5,101.7,.150,.340,.605,65.7,56.9,3.9,1.8,,.580,10.9,34.1,.130,,.391,6.3,87.9,.135
51,51,2020-02-08,@,TOR,L,118,119,123.5,124.5,95.6,.261,.478,.575,48.9,65.9,5.2,8.3,,.533,8.1,27.1,.217,,.547,6.3,71.7,.158
52,52,2020-02-10,@,IND,W,106,105,112.0,111.0,94.6,.368,.425,.524,57.0,57.1,5.3,11.3,,.471,9.0,29.2,.276,,.527,5.8,86.7,.087
53,53,2020-02-12,,TOR,W,101,91,102.6,92.4,98.5,.284,.398,.510,56.7,75.0,7.1,10.6,,.460,10.8,25.0,.227,,.450,12.0,87.8,.111
54,54,2020-02-20,@,PHI,L,104,112,99.4,107.0,94.8,.275,.333,.455,50.5,61.1,2.9,1.6,,.402,12.3,28.8,.216,,.465,11.4,75.6,.372
55,55,2020-02-22,@,CHO,W,115,86,119.0,89.0,96.6,.218,.540,.603,54.5,61.9,10.4,11.3,,.580,9.5,20.0,.161,,.420,11.0,83.3,.136
56,56,2020-02-24,,ORL,L,113,115,116.3,118.3,97.2,.083,.385,.568,54.4,63.0,6.2,5.5,,.563,10.8,27.7,.052,,.567,9.4,83.7,.157
57,57,2020-02-26,@,WAS,L,106,110,104.1,108.0,101.8,.402,.414,.518,58.9,41.7,6.9,1.8,,.471,15.0,33.3,.276,,.505,9.6,82.0,.135
58,58,2020-02-28,@,ATL,L,118,141,116.0,138.6,101.7,.228,.500,.583,42.2,71.4,4.9,13.8,,.554,9.8,15.9,.174,,.613,6.8,67.4,.227
59,59,2020-02-29,@,MIA,L,113,116,118.3,121.5,95.5,.267,.512,.588,49.4,75.0,3.1,5.7,,.558,9.4,18.6,.198,,.527,5.6,78.3,.220
60,60,2020-03-03,@,BOS,W,129,120,116.8,108.7,100.0,.380,.490,.553,60.0,51.2,6.3,11.1,,.500,14.6,43.1,.290,,.500,11.7,75.9,.165
61,61,2020-03-04,,MEM,L,79,118,84.2,125.8,93.8,.189,.467,.405,41.6,50.0,6.4,7.1,,.372,11.8,24.1,.133,,.530,9.4,61.7,.120
62,62,2020-03-06,,SAS,W,139,120,131.0,113.1,106.1,.323,.375,.634,57.8,62.7,0.9,3.4,,.609,6.0,20.0,.229,,.522,5.5,95.6,.261
63,63,2020-03-08,,CHI,W,110,107,106.7,103.8,103.1,.641,.469,.670,61.7,65.6,3.9,8.6,,.586,25.4,16.1,.547,,.489,6.4,90.0,.185
64,64,2020-03-10,@,LAL,W,104,102,109.5,107.4,95.0,.256,.444,.519,50.5,64.9,7.4,6.4,,.483,9.1,26.9,.189,,.546,13.2,80.5,.080
