Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2019-12-30,@,CHI,W,123,102,120.9,100.3,101.7,.286,.381,.650,57.8,63.0,5.9,14.3,,.613,14.5,25.6,.238,,.453,8.3,77.8,.047
36,36,2020-01-01,,MIN,W,106,104,98.6,96.8,107.5,.277,.383,.503,55.6,60.0,3.7,26.7,,.473,13.9,22.2,.181,,.456,9.6,88.9,.231
37,37,2020-01-04,,SAS,W,127,118,124.7,115.9,101.8,.379,.517,.625,49.5,53.5,3.9,16.7,,.592,8.1,15.2,.276,,.473,7.0,79.2,.337
38,38,2020-01-06,@,SAS,L,104,126,108.4,131.4,95.9,.147,.474,.514,41.3,63.2,5.2,9.4,,.479,7.3,18.5,.137,,.619,10.2,73.7,.193
39,39,2020-01-08,@,GSW,W,107,98,105.5,96.7,101.4,.368,.471,.529,47.5,62.9,10.8,6.1,,.454,8.2,11.1,.322,,.466,15.8,77.8,.195
40,40,2020-01-10,@,SAC,W,127,106,115.6,96.5,109.8,.316,.411,.587,53.6,61.7,10.0,6.6,,.547,9.2,15.2,.242,,.510,13.7,88.2,.083
41,41,2020-01-11,@,POR,W,122,101,112.5,93.1,108.4,.194,.369,.546,55.6,44.7,5.5,8.5,,.524,8.2,20.0,.136,,.442,11.1,86.2,.179
42,42,2020-01-14,,NYK,W,128,102,117.3,93.5,109.1,.304,.391,.613,54.6,60.0,3.7,12.3,,.571,11.8,17.8,.250,,.407,8.8,81.0,.186
43,43,2020-01-16,,BOS,W,128,123,122.9,118.1,104.1,.425,.356,.620,53.8,48.8,5.8,12.2,,.586,8.8,17.5,.299,,.515,6.0,81.1,.224
44,44,2020-01-18,@,BRK,W,117,97,107.1,88.8,109.2,.180,.416,.609,53.5,66.7,7.3,12.0,,.601,17.2,12.5,.112,,.409,13.8,80.3,.162
45,45,2020-01-20,,CHI,W,111,98,104.2,92.0,106.6,.299,.338,.637,55.2,75.6,6.6,11.4,,.656,20.9,8.6,.130,,.446,13.8,86.5,.174
46,46,2020-01-24,@,CHO,W,116,103,115.8,102.8,100.2,.276,.414,.595,57.6,59.1,8.0,17.0,,.563,13.3,27.9,.207,,.453,11.6,83.7,.291
47,47,2020-01-28,,WAS,W,151,131,144.3,125.1,104.7,.389,.411,.716,56.8,62.0,2.9,4.8,,.661,11.7,31.4,.356,,.543,8.4,76.1,.309
48,48,2020-01-31,,DEN,L,115,127,105.6,116.7,108.9,.274,.421,.540,47.9,67.4,6.4,9.3,,.516,10.9,14.0,.179,,.590,10.3,84.8,.090
49,49,2020-02-02,,PHO,W,129,108,121.1,101.4,106.5,.278,.392,.592,55.0,62.5,3.8,14.8,,.572,12.8,32.0,.186,,.423,8.1,74.6,.192
50,50,2020-02-04,@,NOP,W,120,108,103.4,93.1,116.1,.167,.353,.548,52.0,70.8,9.5,14.0,,.525,13.4,16.3,.127,,.455,13.4,84.9,.182
51,51,2020-02-06,,PHI,W,112,101,107.2,96.7,104.5,.191,.394,.549,54.5,43.2,2.9,14.8,,.532,12.1,18.8,.128,,.470,9.5,82.3,.081
52,52,2020-02-08,@,ORL,W,111,95,108.0,92.4,102.8,.172,.419,.555,57.4,61.9,3.9,8.6,,.532,13.8,21.7,.129,,.429,8.0,83.9,.112
53,53,2020-02-10,,SAC,W,123,111,112.5,101.5,109.3,.240,.438,.580,52.9,60.5,6.4,8.6,,.542,10.9,17.0,.198,,.485,10.7,82.5,.129
