Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
22,22,2019-12-08,@,POR,W,108,96,35,85,.412,11,32,.344,27,34,.794,13,54,12,7,2,10,22,,36,100,.360,9,33,.273,15,18,.833,18,51,16,7,8,8,26
23,23,2019-12-09,@,UTA,W,104,90,40,85,.471,8,28,.286,16,19,.842,2,46,21,9,7,10,20,,36,89,.404,8,31,.258,10,12,.833,7,48,19,7,0,14,16
24,24,2019-12-11,@,SAC,L,93,94,34,79,.430,13,33,.394,12,18,.667,7,43,24,8,8,15,16,,39,88,.443,10,31,.323,6,10,.600,6,41,12,8,3,15,21
25,25,2019-12-14,@,DEN,L,102,110,38,81,.469,6,23,.261,20,23,.870,7,37,22,7,3,15,23,,43,85,.506,7,27,.259,17,23,.739,10,44,30,6,3,15,23
26,26,2019-12-16,,CHI,W,109,106,35,69,.507,16,34,.471,23,28,.821,9,42,21,8,6,26,15,,43,87,.494,9,31,.290,11,13,.846,5,31,27,17,6,13,21
27,27,2019-12-18,,MEM,W,126,122,46,84,.548,7,24,.292,27,34,.794,6,35,25,6,6,12,16,,50,99,.505,10,26,.385,12,15,.800,15,47,27,5,2,13,25
28,28,2019-12-20,,PHO,W,126,108,49,87,.563,10,24,.417,18,21,.857,8,41,23,7,7,15,23,,38,87,.437,11,32,.344,21,23,.913,12,37,26,9,4,15,29
29,29,2019-12-22,,LAC,W,118,112,46,97,.474,9,27,.333,17,20,.850,16,49,24,10,4,12,20,,40,86,.465,11,27,.407,21,24,.875,10,42,22,7,2,15,23
30,30,2019-12-26,,MEM,L,97,110,38,92,.413,10,35,.286,11,13,.846,7,34,23,11,4,9,14,,46,84,.548,10,25,.400,8,11,.727,8,50,26,6,8,15,14
31,31,2019-12-27,@,CHO,W,104,102,40,89,.449,5,31,.161,19,31,.613,10,49,19,8,4,14,23,,42,101,.416,7,39,.179,11,18,.611,17,54,26,8,4,15,27
32,32,2019-12-29,@,TOR,W,98,97,34,78,.436,10,33,.303,20,23,.870,8,43,15,8,6,17,14,,35,83,.422,15,40,.375,12,12,1.000,8,42,21,7,2,14,20
33,33,2019-12-31,,DAL,W,106,101,39,91,.429,6,27,.222,22,28,.786,18,56,18,7,5,11,21,,33,93,.355,15,51,.294,20,27,.741,17,49,19,5,4,10,24
34,34,2020-01-02,@,SAS,W,109,103,43,89,.483,9,25,.360,14,20,.700,8,43,19,7,6,4,14,,40,92,.435,13,31,.419,10,12,.833,14,45,22,1,8,8,22
