Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2020-01-08,,SAS,L,114,129,108.7,123.0,104.9,.337,.427,.558,44.3,70.3,6.7,3.4,,.489,12.8,16.3,.303,,.603,12.5,79.5,.276
36,36,2020-01-09,@,PHI,L,98,109,104.5,116.3,93.7,.091,.409,.535,44.2,44.7,8.5,1.6,,.511,13.3,18.6,.091,,.551,11.2,69.8,.136
37,37,2020-01-11,,NOP,W,140,105,132.6,99.5,105.6,.180,.290,.649,55.2,52.7,13.3,5.5,,.620,8.5,26.3,.160,,.470,12.9,74.1,.110
38,38,2020-01-13,,CHI,W,113,101,117.5,105.1,96.1,.349,.277,.590,53.1,71.8,7.3,10.7,,.524,11.1,24.4,.313,,.494,13.2,82.5,.259
39,39,2020-01-15,,DET,L,103,116,110.5,124.5,93.2,.241,.337,.561,56.4,51.2,7.5,4.3,,.548,14.0,29.5,.145,,.679,11.3,91.2,.128
40,40,2020-01-16,@,MIL,L,123,128,118.1,122.9,104.1,.276,.500,.560,46.2,37.2,3.8,12.5,,.515,6.0,18.9,.224,,.586,8.8,82.5,.299
41,41,2020-01-18,,PHO,L,119,123,110.4,114.1,107.8,.229,.438,.563,42.9,61.9,10.2,10.3,,.516,9.4,8.7,.208,,.545,12.8,77.8,.292
42,42,2020-01-20,,LAL,W,139,107,137.6,105.9,101.0,.312,.366,.657,57.1,59.6,9.9,7.9,,.645,10.2,36.8,.204,,.478,12.8,73.9,.247
43,43,2020-01-22,,MEM,W,119,95,120.9,96.5,98.4,.225,.360,.608,52.4,71.1,11.2,17.0,,.584,8.4,20.5,.169,,.488,14.9,87.5,.141
44,44,2020-01-24,@,ORL,W,109,98,113.8,102.3,95.8,.209,.407,.580,48.9,67.5,10.4,13.2,,.547,12.2,21.4,.174,,.467,12.5,72.9,.156
45,45,2020-01-26,@,NOP,L,108,123,104.0,118.4,103.9,.247,.371,.547,40.7,51.2,5.8,8.9,,.506,14.0,16.3,.202,,.565,14.7,62.5,.207
46,46,2020-01-28,@,MIA,W,109,101,113.1,104.8,96.4,.289,.434,.583,51.6,61.5,5.2,15.4,,.548,13.0,24.4,.217,,.421,8.9,77.1,.292
47,47,2020-01-30,,GSW,W,119,104,117.0,102.2,101.7,.250,.398,.609,63.0,64.3,11.8,10.5,,.563,18.4,34.1,.227,,.506,15.1,92.5,.338
48,48,2020-02-01,,PHI,W,116,95,121.2,99.3,95.7,.513,.375,.592,47.2,39.5,9.4,3.9,,.525,9.3,20.9,.400,,.411,12.5,71.7,.310
49,49,2020-02-03,@,ATL,W,123,115,122.4,114.5,100.5,.189,.322,.631,57.9,43.8,10.0,9.3,,.600,13.3,29.7,.167,,.571,15.4,84.6,.226
50,50,2020-02-05,,ORL,W,116,100,120.9,104.2,95.9,.186,.267,.623,51.3,50.0,10.4,13.6,,.610,11.4,16.7,.128,,.513,16.2,79.5,.307
51,51,2020-02-07,,ATL,W,112,107,115.6,110.5,96.9,.314,.430,.572,50.5,62.2,5.2,17.0,,.523,11.7,24.4,.256,,.483,12.6,75.0,.279
52,52,2020-02-09,@,OKC,W,112,111,121.4,120.3,92.3,.321,.429,.584,54.6,50.0,6.5,3.4,,.548,8.6,30.4,.238,,.517,9.2,76.5,.256
53,53,2020-02-11,@,HOU,L,105,116,102.4,113.1,102.5,.294,.376,.547,51.6,64.9,10.7,12.5,,.500,15.8,20.0,.235,,.513,12.8,88.4,.481
54,54,2020-02-13,,LAC,W,141,133,114.1,107.6,102.3,.388,.417,.585,48.1,48.9,7.3,8.0,,.524,10.4,14.6,.320,,.468,10.6,75.9,.273
55,55,2020-02-21,@,MIN,W,127,117,124.1,114.4,102.3,.389,.305,.571,57.4,47.7,4.9,12.8,,.516,8.2,31.4,.305,,.489,7.1,84.0,.337
56,56,2020-02-23,@,LAL,L,112,114,109.2,111.2,102.5,.361,.410,.582,48.9,52.6,6.8,5.8,,.536,15.0,18.6,.277,,.517,11.3,76.6,.291
57,57,2020-02-25,@,POR,W,118,106,116.8,104.9,101.0,.156,.433,.614,52.3,44.2,5.9,5.6,,.583,12.7,19.5,.144,,.524,15.2,82.2,.200
58,58,2020-02-26,@,UTA,W,114,103,128.1,115.7,89.0,.190,.310,.626,51.8,46.7,7.9,8.2,,.601,8.1,24.3,.155,,.517,8.6,72.9,.124
59,59,2020-02-29,,HOU,L,110,111,102.6,103.5,97.1,.250,.420,.495,50.5,56.4,10.3,14.0,,.455,11.2,25.5,.190,,.495,13.1,76.9,.143
60,60,2020-03-03,,BRK,L,120,129,108.7,116.8,100.0,.223,.476,.530,40.0,54.5,9.1,11.8,,.500,11.7,24.1,.165,,.500,14.6,56.9,.290
61,61,2020-03-04,@,CLE,W,112,106,120.9,114.4,92.7,.302,.349,.575,49.5,40.0,10.8,13.7,,.529,10.1,28.3,.244,,.511,10.9,67.9,.169
62,62,2020-03-06,,UTA,L,94,99,99.8,105.1,94.2,.191,.383,.461,52.9,54.3,6.4,17.1,,.426,10.5,28.9,.149,,.556,17.4,80.0,.125
63,63,2020-03-08,,OKC,L,104,105,102.7,103.7,101.3,.207,.402,.518,54.1,57.9,8.9,9.3,,.484,11.5,23.9,.163,,.506,14.6,89.7,.316
64,64,2020-03-10,@,IND,W,114,111,117.5,114.4,97.1,.237,.398,.555,51.7,46.3,9.3,5.8,,.511,7.2,25.0,.204,,.543,10.9,77.8,.108
