Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2019-12-31,@,SAS,L,113,117,111.7,115.7,91.6,.188,.281,.544,45.4,70.5,4.9,9.2,,.521,7.1,17.3,.135,,.542,8.8,77.8,.135
36,36,2020-01-02,@,MIN,L,84,99,89.5,105.4,93.9,.273,.260,.487,45.3,60.6,9.6,1.9,,.448,15.6,16.7,.195,,.468,10.5,67.9,.105
37,37,2020-01-04,,DET,L,104,111,105.3,112.4,98.8,.390,.256,.541,47.7,78.8,13.2,5.4,,.470,12.7,22.9,.329,,.584,18.9,77.5,.169
38,38,2020-01-06,@,SAC,L,98,111,93.6,106.0,104.7,.372,.302,.490,50.6,55.9,12.4,7.8,,.424,14.5,21.3,.291,,.574,19.4,85.0,.222
39,39,2020-01-08,,MIL,L,98,107,96.7,105.5,101.4,.230,.437,.511,52.5,87.9,6.9,8.7,,.466,15.8,22.2,.195,,.454,8.2,88.9,.322
40,40,2020-01-10,@,LAC,L,100,109,98.1,107.0,101.9,.260,.406,.467,46.0,75.7,8.8,2.2,,.427,8.5,22.4,.188,,.554,16.9,78.6,.190
41,41,2020-01-12,@,MEM,L,102,122,94.9,113.6,107.4,.228,.370,.504,43.9,65.7,10.2,9.2,,.473,17.9,22.2,.163,,.505,12.6,66.0,.210
42,42,2020-01-14,,DAL,L,97,124,100.8,128.9,96.2,.149,.368,.523,40.4,69.2,4.2,1.7,,.500,13.1,15.6,.115,,.578,6.2,65.9,.135
43,43,2020-01-16,,DEN,L,131,134,115.6,118.3,102.6,.326,.474,.603,42.9,85.7,10.6,9.2,,.547,14.2,19.6,.284,,.555,15.2,68.1,.230
44,44,2020-01-18,,ORL,W,109,95,111.2,96.9,98.0,.117,.426,.551,48.9,58.1,9.2,3.6,,.521,9.2,15.9,.117,,.506,14.1,80.4,.093
45,45,2020-01-20,@,POR,L,124,129,111.9,116.4,100.3,.190,.310,.493,52.6,62.5,6.3,8.9,,.453,6.7,31.1,.164,,.510,9.6,77.4,.270
46,46,2020-01-22,,UTA,L,96,129,102.1,137.3,94.0,.273,.261,.487,39.8,57.1,5.3,9.4,,.432,7.5,21.2,.227,,.629,8.0,63.4,.129
47,47,2020-01-24,,IND,L,118,129,118.2,129.2,99.8,.280,.476,.640,51.4,77.5,6.0,5.1,,.604,17.8,18.4,.232,,.672,9.7,86.1,.138
48,48,2020-01-28,@,PHI,L,104,115,101.1,111.8,102.9,.241,.460,.540,47.6,78.4,5.8,6.0,,.511,11.9,12.5,.172,,.579,13.0,94.4,.244
49,49,2020-01-30,@,BOS,L,104,119,102.2,117.0,101.7,.390,.506,.576,37.0,72.7,10.8,11.3,,.506,15.1,7.5,.338,,.563,18.4,65.9,.227
50,50,2020-02-01,@,CLE,W,131,112,132.5,113.3,98.9,.211,.389,.666,48.9,81.3,11.1,19.6,,.633,10.1,23.3,.189,,.516,12.9,72.3,.147
51,51,2020-02-03,@,WAS,W,125,117,122.6,114.8,101.9,.356,.345,.621,55.7,72.1,7.8,9.8,,.580,12.2,26.7,.276,,.560,10.3,94.1,.289
52,52,2020-02-05,@,BRK,L,88,129,86.5,126.8,101.7,.188,.406,.423,34.3,57.1,5.9,10.6,,.391,6.3,12.1,.135,,.580,10.9,65.9,.130
53,53,2020-02-08,,LAL,L,120,125,112.3,117.0,106.9,.258,.360,.605,41.3,67.4,14.0,11.3,,.590,15.4,18.6,.169,,.610,19.8,67.6,.305
54,54,2020-02-10,,MIA,L,101,113,102.5,114.7,98.6,.442,.442,.549,47.1,76.7,8.1,3.7,,.461,14.0,13.6,.390,,.563,10.3,82.9,.172
55,55,2020-02-12,@,PHO,L,106,112,104.4,110.3,101.5,.247,.403,.621,48.7,69.2,7.9,13.0,,.578,20.5,11.1,.221,,.538,12.5,81.0,.154
56,56,2020-02-20,,HOU,L,105,135,105.8,136.0,99.3,.135,.371,.557,52.6,59.1,11.1,19.4,,.534,18.2,31.7,.112,,.676,13.7,77.1,.235
57,57,2020-02-23,,NOP,L,101,115,101.3,115.3,99.7,.163,.380,.512,48.0,70.0,9.0,12.5,,.495,11.6,22.4,.109,,.556,11.1,72.5,.061
58,58,2020-02-25,,SAC,L,94,112,95.8,114.1,98.1,.304,.354,.525,45.9,60.0,7.1,4.3,,.468,15.2,11.6,.253,,.612,9.9,93.5,.250
59,59,2020-02-27,,LAL,L,86,116,82.1,110.7,104.8,.125,.400,.509,45.7,79.4,6.7,4.7,,.481,23.6,12.2,.113,,.557,13.8,80.0,.205
60,60,2020-02-29,@,PHO,W,115,99,116.6,100.4,98.6,.368,.345,.569,55.1,73.2,9.1,11.1,,.523,9.0,28.9,.276,,.482,16.9,81.8,.229
61,61,2020-03-01,,WAS,L,110,124,109.8,123.8,100.2,.270,.315,.552,60.5,59.5,7.0,13.5,,.522,17.4,38.3,.191,,.610,12.2,87.2,.293
62,62,2020-03-03,@,DEN,W,116,100,122.9,105.9,94.4,.268,.500,.633,39.8,73.8,8.5,4.5,,.622,10.7,12.8,.171,,.466,13.2,61.2,.218
63,63,2020-03-05,,TOR,L,113,121,107.8,115.5,104.8,.255,.531,.518,57.1,85.0,3.8,11.6,,.480,12.1,28.0,.194,,.554,10.1,92.7,.333
64,64,2020-03-07,,PHI,W,118,114,129.9,125.5,90.9,.350,.313,.639,46.1,68.2,4.4,4.0,,.606,7.0,18.9,.263,,.565,10.5,71.8,.226
65,65,2020-03-10,,LAC,L,107,131,112.0,137.2,95.5,.342,.481,.589,42.7,67.6,3.1,0.0,,.538,9.0,10.0,.278,,.609,9.1,73.8,.207
