Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2020-01-02,@,MIA,L,76,84,85.4,94.4,89.0,.191,.472,.394,49.0,71.4,4.5,13.6,,.348,9.4,24.1,.157,,.481,13.2,79.5,.074
36,36,2020-01-04,@,BRK,W,121,102,124.0,104.6,97.5,.289,.330,.553,53.1,47.7,10.3,12.5,,.521,6.0,31.9,.206,,.575,22.7,82.4,.373
37,37,2020-01-07,,POR,L,99,101,103.1,105.2,96.0,.198,.438,.474,55.9,60.0,5.2,13.2,,.443,11.1,30.9,.146,,.506,9.6,85.1,.136
38,38,2020-01-08,@,CHO,W,112,110,114.7,112.7,88.4,.213,.383,.545,47.9,81.0,7.2,10.2,,.521,8.9,27.5,.149,,.529,14.9,71.1,.221
39,39,2020-01-12,,SAS,L,104,105,103.3,104.3,100.7,.115,.500,.516,46.9,76.9,7.0,5.5,,.495,9.8,16.0,.094,,.477,9.9,80.4,.253
40,40,2020-01-15,@,OKC,W,130,121,124.2,115.6,104.7,.176,.318,.710,53.7,63.5,12.4,2.3,,.700,16.4,15.6,.129,,.600,16.1,88.6,.224
41,41,2020-01-17,,WAS,W,140,111,128.3,101.7,109.1,.176,.473,.714,48.8,67.3,14.7,3.7,,.692,16.2,18.9,.154,,.534,20.8,72.3,.180
42,42,2020-01-18,@,MIN,W,122,112,115.7,106.3,105.4,.187,.385,.619,46.2,53.2,12.3,20.5,,.588,12.4,15.9,.165,,.479,13.8,74.5,.234
43,43,2020-01-20,@,ATL,W,122,117,111.1,106.5,109.8,.467,.457,.550,47.4,65.8,11.8,6.0,,.484,11.2,22.6,.359,,.566,19.1,78.6,.277
44,44,2020-01-22,,PHI,W,107,95,110.6,98.2,96.7,.244,.384,.562,54.1,67.5,6.2,5.3,,.541,11.2,17.8,.163,,.488,12.4,84.9,.155
45,45,2020-01-24,@,NYK,W,118,112,129.2,122.6,91.4,.284,.432,.647,40.3,61.0,10.9,12.2,,.611,7.1,13.5,.235,,.571,12.9,65.0,.176
