Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2020-01-02,,MEM,W,128,123,119.3,114.6,107.3,.344,.378,.618,49.4,59.1,8.4,13.6,,.567,10.4,17.1,.289,,.554,14.3,81.0,.215
36,36,2020-01-04,,NOP,L,115,117,109.5,111.4,105.0,.424,.247,.570,53.7,52.6,8.6,7.1,,.518,16.6,28.6,.318,,.529,12.9,80.4,.287
37,37,2020-01-06,,GSW,W,111,98,106.0,93.6,104.7,.284,.370,.609,49.4,69.2,9.6,5.0,,.574,19.4,15.0,.222,,.424,14.5,78.7,.291
38,38,2020-01-07,@,PHO,W,114,103,115.7,104.5,98.5,.333,.429,.592,50.0,48.6,8.1,2.4,,.530,13.5,18.6,.298,,.552,16.4,84.6,.234
39,39,2020-01-10,,MIL,L,106,127,96.5,115.6,109.8,.104,.365,.528,46.4,59.1,7.3,5.4,,.510,13.7,11.8,.083,,.547,9.2,84.8,.242
40,40,2020-01-13,,ORL,L,112,114,113.2,115.3,98.9,.126,.356,.610,48.9,55.6,6.1,6.3,,.586,11.6,10.5,.115,,.484,7.1,76.9,.272
41,41,2020-01-15,,DAL,L,123,127,124.0,128.1,99.2,.208,.344,.587,47.2,56.0,5.0,0.0,,.583,7.1,24.4,.115,,.582,9.7,70.5,.217
42,42,2020-01-18,@,UTA,L,101,123,109.4,133.2,92.3,.140,.302,.553,44.0,47.6,3.2,7.0,,.547,9.9,15.9,.081,,.588,7.7,75.0,.271
43,43,2020-01-20,@,MIA,L,113,118,105.6,110.3,96.9,.142,.481,.502,53.8,61.4,10.3,7.3,,.476,11.8,30.2,.113,,.602,18.5,86.8,.217
44,44,2020-01-22,@,DET,L,106,127,101.4,121.4,104.6,.235,.357,.490,48.4,54.8,9.6,2.3,,.480,8.5,21.1,.122,,.616,15.5,91.7,.507
45,45,2020-01-24,@,CHI,W,98,81,104.1,86.1,94.1,.259,.395,.543,49.4,68.6,8.5,19.0,,.494,12.6,16.7,.222,,.443,18.2,81.4,.139
46,46,2020-01-27,@,MIN,W,133,129,121.9,118.2,98.8,.386,.455,.646,49.4,61.4,5.5,18.6,,.602,12.7,20.5,.307,,.612,16.2,77.8,.225
47,47,2020-01-29,,OKC,L,100,120,103.9,124.7,96.2,.121,.429,.522,46.4,52.4,6.2,3.7,,.511,11.9,23.9,.077,,.585,11.8,73.7,.193
48,48,2020-01-30,@,LAC,W,124,103,127.4,105.8,97.3,.205,.466,.646,54.7,61.4,11.3,13.1,,.619,9.4,28.2,.170,,.451,12.7,76.6,.217
49,49,2020-02-01,,LAL,L,113,129,112.2,128.1,100.7,.286,.484,.552,48.9,53.8,5.0,9.3,,.505,13.5,27.1,.231,,.622,12.5,73.8,.256
50,50,2020-02-03,,MIN,W,113,109,118.5,114.3,95.4,.413,.360,.637,43.0,68.4,7.3,14.9,,.600,15.3,18.4,.307,,.512,14.1,65.9,.259
51,51,2020-02-07,,MIA,W,105,97,109.1,100.8,96.3,.146,.537,.602,46.2,72.5,8.3,8.1,,.604,13.8,14.6,.073,,.519,18.5,81.1,.221
52,52,2020-02-08,,SAS,W,122,102,129.2,108.0,94.4,.233,.407,.643,48.8,55.6,6.4,3.5,,.634,9.5,19.5,.151,,.549,13.6,79.5,.160
53,53,2020-02-10,@,MIL,L,111,123,101.5,112.5,109.3,.178,.426,.510,47.1,54.8,5.5,9.3,,.485,10.7,17.5,.129,,.542,10.9,83.0,.198
54,54,2020-02-12,@,DAL,L,111,130,109.8,128.6,101.1,.222,.394,.511,46.0,63.4,6.9,4.4,,.475,4.4,18.5,.172,,.665,10.5,90.9,.200
55,55,2020-02-20,,MEM,W,129,125,124.6,120.8,103.5,.434,.470,.653,34.6,52.4,8.7,3.6,,.620,9.2,7.0,.313,,.576,16.1,68.6,.318
56,56,2020-02-22,@,LAC,W,112,103,110.7,101.8,101.2,.292,.348,.558,50.5,62.5,10.9,7.0,,.517,11.5,24.4,.225,,.448,16.0,74.0,.287
57,57,2020-02-25,@,GSW,W,112,94,114.1,95.8,98.1,.447,.395,.616,54.1,62.5,7.1,7.8,,.612,9.9,6.5,.250,,.468,15.2,88.4,.253
58,58,2020-02-27,@,OKC,L,108,112,114.3,118.5,94.5,.154,.385,.556,54.9,73.2,6.3,3.4,,.516,13.4,30.8,.154,,.542,8.5,76.7,.250
59,59,2020-02-28,@,MEM,W,104,101,104.5,101.5,99.5,.231,.418,.519,47.5,63.2,11.1,4.9,,.478,8.2,16.0,.187,,.473,10.7,79.6,.165
60,60,2020-03-01,,DET,W,106,100,113.1,106.7,93.8,.286,.385,.517,54.8,48.6,8.5,18.4,,.456,8.9,32.7,.253,,.525,13.4,82.9,.200
61,61,2020-03-03,,WAS,W,133,126,126.8,120.1,104.9,.270,.326,.668,57.5,46.0,12.4,4.8,,.635,13.1,21.6,.225,,.613,12.8,94.4,.350
62,62,2020-03-05,,PHI,L,108,125,109.2,126.4,98.9,.228,.367,.621,45.1,54.8,7.1,6.8,,.601,16.4,11.4,.165,,.578,10.4,70.2,.146
63,63,2020-03-07,@,POR,W,123,111,125.9,113.6,97.7,.271,.459,.647,53.4,73.2,9.2,6.0,,.606,12.8,26.2,.235,,.528,9.9,78.3,.191
64,64,2020-03-08,,TOR,L,113,118,114.1,119.1,99.1,.256,.344,.564,58.1,57.1,5.0,20.6,,.511,9.9,22.7,.233,,.591,8.7,95.2,.256
