Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
22,22,2019-12-04,,BRK,L,118,130,48,90,.533,9,26,.346,13,21,.619,9,35,24,8,9,16,19,,50,101,.495,14,31,.452,16,18,.889,18,53,26,8,6,15,20
23,23,2019-12-08,@,CHO,W,122,107,44,91,.484,18,45,.400,16,17,.941,11,48,28,8,8,13,24,,36,90,.400,11,31,.355,24,29,.828,13,44,22,8,3,11,17
24,24,2019-12-10,@,MIA,L,121,135,45,95,.474,20,54,.370,11,18,.611,4,37,30,4,6,11,23,,53,103,.515,14,41,.341,15,22,.682,9,53,35,5,3,11,17
25,25,2019-12-11,@,CHI,L,102,136,35,83,.422,13,38,.342,19,26,.731,10,41,26,7,5,23,20,,54,94,.574,11,24,.458,17,19,.895,7,42,32,15,7,13,25
26,26,2019-12-13,,IND,L,100,110,39,94,.415,6,28,.214,16,23,.696,12,50,24,6,4,15,20,,46,92,.500,7,22,.318,11,15,.733,6,46,28,7,0,14,21
27,27,2019-12-15,,LAL,L,96,101,31,86,.360,12,42,.286,22,25,.880,8,42,18,8,5,19,27,,36,84,.429,5,31,.161,24,33,.727,13,56,21,14,9,22,24
28,28,2019-12-17,@,NYK,L,120,143,45,99,.455,15,43,.349,15,20,.750,9,36,20,7,3,10,21,,53,95,.558,13,28,.464,24,31,.774,13,55,30,7,6,11,21
29,29,2019-12-19,,UTA,L,106,111,39,90,.433,11,29,.379,17,19,.895,6,40,24,8,1,16,27,,39,83,.470,6,24,.250,27,38,.711,13,53,18,8,6,18,17
30,30,2019-12-21,@,BRK,L,112,122,39,105,.371,11,48,.229,23,27,.852,14,52,17,7,5,10,22,,46,100,.460,11,30,.367,19,28,.679,12,61,23,8,4,15,18
31,31,2019-12-23,@,CLE,L,118,121,45,95,.474,15,42,.357,13,17,.765,5,37,23,11,7,16,20,,50,96,.521,11,29,.379,10,12,.833,7,43,19,8,6,23,16
32,32,2019-12-27,,MIL,L,86,112,33,91,.363,12,41,.293,8,14,.571,8,46,20,10,8,18,18,,46,91,.505,11,28,.393,9,13,.692,6,56,29,9,8,18,13
33,33,2019-12-28,@,CHI,L,81,116,32,86,.372,9,34,.265,8,11,.727,9,39,24,8,5,19,16,,43,87,.494,15,31,.484,15,19,.789,13,51,22,13,5,17,15
34,34,2019-12-30,@,ORL,W,101,93,39,81,.481,9,29,.310,14,17,.824,11,52,21,8,4,20,20,,37,89,.416,5,25,.200,14,24,.583,11,40,22,9,6,9,17
35,35,2020-01-03,@,BOS,L,106,109,39,93,.419,16,45,.356,12,15,.800,6,42,26,6,5,14,24,,41,93,.441,6,25,.240,21,29,.724,12,54,23,9,7,12,16
