Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2020-01-03,,NYK,W,120,112,114.9,107.2,104.5,.367,.311,.574,48.0,66.7,6.7,5.5,,.522,8.7,18.8,.289,,.500,12.5,75.0,.217
36,36,2020-01-05,,MEM,L,114,121,111.3,118.2,102.4,.274,.274,.536,52.3,58.1,6.8,9.8,,.484,8.6,23.5,.232,,.651,15.0,91.9,.157
37,37,2020-01-07,,SAC,L,103,114,104.5,115.7,98.5,.286,.455,.594,50.0,64.9,4.1,4.2,,.552,16.4,15.4,.234,,.530,13.5,81.4,.298
38,38,2020-01-10,,ORL,W,98,94,103.8,99.6,94.4,.329,.354,.542,47.3,57.6,10.6,14.3,,.475,13.4,20.5,.291,,.421,12.3,71.4,.213
39,39,2020-01-12,,CHO,W,100,92,103.9,95.6,96.2,.220,.256,.556,58.0,53.7,8.3,9.8,,.543,16.7,29.3,.134,,.465,13.0,83.0,.140
40,40,2020-01-14,@,ATL,L,110,123,109.5,122.4,100.5,.368,.230,.544,46.5,50.0,9.0,9.7,,.483,9.8,22.7,.299,,.570,12.8,71.4,.183
41,41,2020-01-16,@,NYK,W,121,98,115.8,93.8,104.5,.196,.326,.605,57.0,66.0,10.5,6.3,,.576,16.0,31.8,.163,,.456,15.2,79.6,.178
42,42,2020-01-18,@,BOS,W,123,119,114.1,110.4,107.8,.337,.348,.602,57.1,64.3,5.6,11.1,,.545,12.8,22.2,.292,,.516,9.4,91.3,.208
43,43,2020-01-20,,SAS,L,118,120,122.2,124.3,96.5,.375,.275,.633,58.1,61.9,3.1,5.4,,.575,13.1,24.2,.325,,.592,7.6,85.4,.195
44,44,2020-01-22,,IND,L,87,112,90.1,116.0,96.5,.310,.238,.456,51.2,43.3,7.3,4.7,,.381,12.0,19.1,.274,,.589,8.8,89.7,.155
45,45,2020-01-24,@,SAS,W,103,99,109.6,105.4,94.0,.250,.345,.552,49.4,64.1,6.4,7.5,,.512,12.2,23.3,.202,,.455,13.1,76.2,.359
46,46,2020-01-26,@,MEM,L,109,114,99.7,104.2,109.4,.380,.315,.507,47.7,65.7,12.8,10.8,,.440,13.7,24.0,.304,,.571,20.8,78.9,.214
47,47,2020-01-28,@,DAL,W,133,104,136.4,106.7,97.5,.244,.326,.698,54.2,66.7,10.3,8.0,,.663,10.4,24.2,.221,,.488,13.7,79.5,.277
48,48,2020-01-31,,OKC,L,107,111,111.7,115.9,95.8,.382,.316,.603,49.4,55.6,6.3,9.1,,.533,17.6,29.7,.342,,.469,10.1,65.9,.206
49,49,2020-02-02,@,MIL,L,108,129,101.4,121.1,106.5,.221,.221,.473,45.0,48.8,7.5,5.1,,.423,8.1,25.4,.192,,.572,12.8,68.0,.186
50,50,2020-02-03,@,BRK,L,97,119,97.5,119.6,99.5,.200,.189,.495,49.4,59.0,7.0,10.9,,.467,14.0,29.2,.144,,.567,14.8,74.4,.202
51,51,2020-02-05,@,DET,L,108,116,119.2,128.0,90.6,.195,.338,.646,46.8,69.0,4.4,7.5,,.623,15.2,20.0,.156,,.547,5.6,68.2,.126
52,52,2020-02-07,,HOU,W,127,91,127.2,91.1,99.8,.351,.403,.714,63.8,67.4,10.0,24.3,,.656,20.6,32.3,.338,,.406,13.5,83.7,.259
