Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
35,35,2020-01-01,@,NYK,L,93,117,94.4,118.8,98.5,.160,.340,.462,46.1,45.9,4.1,8.1,,.447,7.4,17.9,.096,,.551,6.3,80.4,.092
36,36,2020-01-03,@,WAS,W,122,103,129.0,108.9,94.6,.375,.284,.595,50.0,35.6,6.3,12.3,,.545,6.4,28.9,.295,,.483,10.6,68.2,.178
37,37,2020-01-05,@,MIA,L,111,122,116.5,128.1,95.2,.230,.425,.579,46.0,52.5,5.2,8.7,,.534,9.5,18.2,.207,,.622,9.3,74.4,.111
38,38,2020-01-07,@,TOR,W,101,99,105.2,103.1,96.0,.159,.398,.536,44.1,60.5,6.2,20.4,,.506,9.6,14.9,.136,,.443,11.1,69.1,.146
39,39,2020-01-09,@,MIN,L,102,116,104.1,118.4,98.0,.323,.385,.465,42.3,40.0,9.2,10.5,,.422,8.4,25.5,.219,,.567,12.5,64.3,.169
40,40,2020-01-11,,MIL,L,101,122,93.1,112.5,108.4,.221,.379,.484,44.4,45.9,5.5,6.2,,.442,11.1,13.8,.179,,.524,8.2,80.0,.136
41,41,2020-01-13,,CHO,W,115,112,122.3,119.1,94.0,.229,.446,.629,52.8,61.9,4.3,9.6,,.602,12.5,22.0,.181,,.544,7.6,79.2,.156
42,42,2020-01-15,@,HOU,W,117,107,114.7,104.9,102.0,.305,.379,.543,53.7,53.7,5.9,8.5,,.489,6.1,24.0,.253,,.479,10.2,79.3,.156
43,43,2020-01-17,@,DAL,L,112,120,115.3,123.5,97.2,.259,.353,.591,48.2,56.8,6.2,11.9,,.571,11.2,21.1,.176,,.551,11.4,71.1,.247
44,44,2020-01-18,@,OKC,L,106,119,109.3,122.6,97.0,.231,.352,.529,45.5,28.2,7.2,11.5,,.495,10.7,25.0,.176,,.560,10.8,70.0,.313
45,45,2020-01-20,,GSW,W,129,124,116.4,111.9,100.3,.300,.440,.570,47.4,47.7,3.6,13.8,,.510,9.6,22.6,.270,,.453,6.7,68.9,.164
46,46,2020-01-23,,DAL,L,125,133,129.4,137.7,96.6,.165,.429,.640,51.2,43.5,4.1,8.7,,.621,10.9,27.5,.132,,.634,7.2,72.7,.161
47,47,2020-01-26,,IND,W,139,129,138.7,128.8,100.2,.278,.389,.688,58.1,55.1,1.0,10.8,,.656,12.9,32.4,.233,,.586,5.5,83.8,.215
48,48,2020-01-29,,HOU,W,125,112,118.0,105.7,105.9,.303,.404,.620,56.2,52.2,7.6,17.0,,.590,15.1,25.0,.225,,.516,12.8,81.6,.160
49,49,2020-01-31,@,LAL,W,127,119,121.1,113.5,104.9,.216,.371,.598,39.2,51.0,9.5,12.5,,.572,4.5,12.2,.165,,.526,14.2,64.2,.188
50,50,2020-02-01,,UTA,W,124,107,132.1,114.0,93.9,.196,.315,.620,58.0,42.6,4.3,9.4,,.592,10.7,35.0,.163,,.521,8.4,77.1,.096
51,51,2020-02-04,@,DEN,L,99,127,101.0,129.6,98.0,.242,.341,.492,41.9,44.4,5.1,10.7,,.445,8.2,19.1,.198,,.606,11.4,69.2,.200
52,52,2020-02-06,,SAS,W,125,117,127.1,118.9,98.4,.130,.402,.642,56.2,57.1,2.0,9.4,,.630,11.0,22.5,.098,,.500,3.7,83.7,.272
53,53,2020-02-07,@,UTA,L,114,117,112.5,115.5,101.3,.144,.412,.553,43.4,31.8,8.9,6.6,,.541,8.0,18.9,.093,,.549,12.9,71.7,.187
54,54,2020-02-09,,MIA,W,115,109,113.6,107.7,101.2,.259,.494,.607,46.7,50.0,8.9,12.2,,.582,12.9,12.2,.188,,.500,11.1,74.5,.112
55,55,2020-02-11,@,NOP,L,117,138,112.7,133.0,103.8,.301,.312,.555,44.4,47.7,4.8,5.2,,.511,11.7,25.0,.237,,.609,10.9,66.7,.283
56,56,2020-02-12,@,MEM,L,104,111,104.3,111.4,99.7,.247,.381,.483,47.2,58.3,7.0,4.2,,.438,9.3,27.6,.196,,.505,10.3,70.0,.158
57,57,2020-02-21,,NOP,L,115,128,110.0,122.4,104.5,.266,.287,.548,50.0,46.5,6.7,18.0,,.511,11.8,26.0,.202,,.643,14.7,78.6,.238
58,58,2020-02-23,,DET,W,107,104,116.7,113.5,91.7,.226,.357,.579,48.2,48.8,6.5,9.8,,.565,9.8,21.4,.143,,.494,10.4,74.4,.221
59,59,2020-02-25,,BOS,L,106,118,104.9,116.8,101.0,.271,.365,.557,47.7,63.2,7.9,7.8,,.524,15.2,17.8,.200,,.583,12.7,80.5,.144
60,60,2020-02-27,@,IND,L,100,106,103.7,109.9,96.4,.157,.337,.525,48.4,34.1,5.2,7.7,,.511,12.8,22.2,.101,,.489,9.9,72.9,.200
61,61,2020-02-29,@,ATL,L,117,129,111.8,123.2,104.7,.223,.298,.567,53.8,29.8,8.6,9.5,,.543,14.1,29.5,.160,,.655,16.1,85.3,.226
62,62,2020-03-02,@,ORL,W,130,107,132.7,109.2,98.0,.182,.375,.684,55.7,55.1,6.1,7.5,,.648,10.4,17.6,.182,,.458,5.4,79.6,.198
63,63,2020-03-04,,WAS,W,125,104,124.1,103.3,100.7,.395,.383,.657,49.5,57.1,7.0,16.2,,.599,13.6,18.9,.346,,.442,8.2,69.0,.126
64,64,2020-03-06,@,PHO,L,117,127,119.1,129.3,98.2,.276,.368,.600,45.3,60.5,6.1,12.2,,.569,14.1,22.0,.207,,.599,10.8,66.7,.198
65,65,2020-03-07,,SAC,L,111,123,113.6,125.9,97.7,.292,.438,.553,46.6,52.4,9.2,6.5,,.528,9.9,21.7,.191,,.606,12.8,73.8,.235
66,66,2020-03-10,,PHO,W,121,105,122.8,106.6,98.5,.191,.393,.627,51.7,44.4,9.1,16.4,,.601,10.2,20.9,.157,,.466,12.5,80.4,.276
