Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,ORL,L,85,94,33,88,.375,9,34,.265,10,15,.667,10,54,20,8,2,16,15,,37,86,.430,9,30,.300,11,19,.579,7,46,24,12,4,13,18
2,2,2019-10-26,,IND,W,110,99,40,80,.500,11,31,.355,19,29,.655,12,44,23,9,7,18,20,,39,87,.448,10,28,.357,11,13,.846,6,36,23,7,3,17,27
3,3,2019-10-28,@,MIL,L,112,129,45,100,.450,12,39,.308,10,12,.833,10,48,19,2,3,11,22,,48,92,.522,17,38,.447,16,24,.667,8,50,29,9,7,12,15
4,4,2019-10-30,,CHI,W,117,111,41,78,.526,10,24,.417,25,31,.806,10,47,25,3,7,17,21,,39,90,.433,14,39,.359,19,23,.826,9,32,25,6,5,6,24
5,5,2019-11-01,@,IND,L,95,102,32,87,.368,11,32,.344,20,25,.800,3,45,20,9,1,16,21,,39,96,.406,5,27,.185,19,21,.905,13,58,20,8,10,13,24
6,6,2019-11-03,,DAL,L,111,131,39,96,.406,18,48,.375,15,22,.682,12,41,24,9,4,9,14,,50,94,.532,20,41,.488,11,13,.846,11,51,34,5,6,13,21
7,7,2019-11-05,,BOS,L,113,119,40,95,.421,13,33,.394,20,22,.909,11,43,22,3,6,9,18,,48,85,.565,12,30,.400,11,15,.733,4,45,24,5,12,14,23
8,8,2019-11-08,@,WAS,W,113,100,41,90,.456,6,27,.222,25,29,.862,17,48,18,10,5,12,17,,45,96,.469,7,31,.226,3,6,.500,17,47,26,5,5,18,24
9,9,2019-11-10,@,NYK,W,108,87,36,82,.439,8,28,.286,28,31,.903,9,45,20,11,2,14,19,,31,86,.360,9,31,.290,16,25,.640,17,52,19,11,8,21,26
10,10,2019-11-12,@,PHI,L,97,98,38,86,.442,5,21,.238,16,20,.800,9,45,13,10,0,13,13,,40,89,.449,8,38,.211,10,13,.769,11,46,24,8,8,14,20
11,11,2019-11-14,,MIA,L,97,108,36,85,.424,8,32,.250,17,21,.810,11,41,18,14,2,18,16,,43,79,.544,12,30,.400,10,11,.909,4,41,31,10,7,18,21
12,12,2019-11-17,,PHI,L,95,114,34,90,.378,6,25,.240,21,24,.875,11,42,14,9,5,14,21,,46,84,.548,9,23,.391,13,17,.765,4,44,33,6,11,13,22
