Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
23,23,2019-12-06,,LAL,L,113,136,39,86,.453,10,34,.294,25,29,.862,4,34,20,9,4,15,25,,46,85,.541,17,36,.472,27,33,.818,3,45,26,10,8,16,23
24,24,2019-12-08,,OKC,L,96,108,36,100,.360,9,33,.273,15,18,.833,18,51,16,7,8,8,26,,35,85,.412,11,32,.344,27,34,.794,13,54,12,7,2,10,22
25,25,2019-12-10,,NYK,W,115,87,39,90,.433,17,41,.415,20,24,.833,11,58,20,6,7,12,21,,32,91,.352,7,38,.184,16,26,.615,11,47,16,5,3,11,18
26,26,2019-12-12,@,DEN,L,99,114,41,86,.477,9,30,.300,8,11,.727,7,35,22,4,7,8,16,,42,88,.477,18,36,.500,12,19,.632,15,48,25,6,2,10,13
27,27,2019-12-16,@,PHO,W,111,110,40,84,.476,14,34,.412,17,20,.850,9,41,21,9,9,20,27,,41,90,.456,12,34,.353,16,19,.842,11,44,31,11,5,20,21
28,28,2019-12-18,,GSW,W,122,112,44,97,.454,9,31,.290,25,28,.893,14,57,19,6,8,10,22,,41,103,.398,16,38,.421,14,23,.609,17,50,24,7,7,8,23
29,29,2019-12-20,,ORL,W,118,103,42,84,.500,17,36,.472,17,19,.895,11,54,16,4,11,20,24,,39,106,.368,7,28,.250,18,26,.692,18,48,21,14,5,10,16
30,30,2019-12-21,,MIN,W,113,106,40,94,.426,13,35,.371,20,25,.800,12,45,19,9,13,14,21,,38,87,.437,15,37,.405,15,16,.938,7,39,16,8,8,16,18
31,31,2019-12-23,,NOP,L,94,102,37,91,.407,4,29,.138,16,18,.889,8,48,17,6,6,11,17,,38,93,.409,15,35,.429,11,16,.688,13,55,23,6,6,12,19
32,32,2019-12-26,@,UTA,L,115,121,43,89,.483,15,34,.441,14,19,.737,11,43,14,4,1,12,21,,46,81,.568,14,36,.389,15,22,.682,7,41,22,3,1,10,18
33,33,2019-12-28,,LAL,L,120,128,41,86,.477,15,35,.429,23,27,.852,9,39,18,4,8,16,22,,47,91,.516,11,32,.344,23,28,.821,11,44,32,6,7,9,25
