Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,TOV%,ORB%,FT/FGA,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
DAL,16,2019-11-24,@,HOU,W,137,123,126.9,113.9,107.9,9.5,23.5,0.216,49,102,0.48,17,44,0.386,22,28,0.786,12,46,28,9,5,12,22
DAL,17,2019-11-26,,LAC,L,99,114,95.5,110,103.7,17.5,18.8,0.354,30,79,0.38,11,38,0.289,28,35,0.8,9,46,16,12,2,20,21
DAL,18,2019-11-29,@,PHO,W,120,113,121.2,114.1,99,7.3,20,0.388,35,85,0.412,17,47,0.362,33,38,0.868,9,47,20,7,3,8,24
DAL,19,2019-12-01,@,LAL,W,114,100,114.5,100.4,99.6,11,30.8,0.134,42,97,0.433,17,49,0.347,13,18,0.722,16,51,24,11,1,13,20
DAL,20,2019-12-03,@,NOP,W,118,97,119.3,98,98.9,9.1,20.8,0.261,38,88,0.432,19,45,0.422,23,27,0.852,10,51,22,5,8,10,14
DAL,21,2019-12-04,,MIN,W,121,114,129,121.5,93.8,7.3,31,0.196,46,92,0.5,11,37,0.297,18,23,0.783,13,45,24,5,5,8,16
DAL,22,2019-12-07,,NOP,W,130,84,128.2,82.8,101.4,10.7,23.5,0.291,46,86,0.535,13,38,0.342,25,31,0.806,8,55,25,8,4,12,17
DAL,23,2019-12-08,,SAC,L,106,110,119.3,123.9,88.8,11.8,26.3,0.081,41,86,0.477,17,44,0.386,7,8,0.875,10,40,24,3,1,12,11
DAL,24,2019-12-12,@,DET,W,122,111,125.1,113.8,97.5,10.1,27.5,0.182,45,88,0.511,16,44,0.364,16,23,0.696,11,52,25,4,5,11,21
DAL,25,2019-12-14,,MIA,L,118,122,109.3,113,97.8,9.2,15.4,0.109,45,101,0.446,17,44,0.386,11,17,0.647,8,48,30,4,3,11,27
DAL,26,2019-12-16,@,MIL,W,120,116,114.4,110.5,104.9,12.3,17.8,0.25,41,88,0.466,16,41,0.39,22,27,0.815,8,52,27,5,6,14,23
DAL,27,2019-12-18,,BOS,L,103,109,109,115.3,94.5,6.7,20,0.23,34,87,0.391,15,43,0.349,20,25,0.8,10,42,23,7,10,7,20
DAL,28,2019-12-20,@,PHI,W,117,98,116.8,97.9,100.1,14.7,18.6,0.205,43,83,0.518,14,33,0.424,17,22,0.773,8,49,23,10,4,16,17
DAL,29,2019-12-22,@,TOR,L,107,110,106,108.9,101,14.3,27.5,0.244,35,90,0.389,15,46,0.326,22,27,0.815,14,53,27,6,4,17,22
DAL,30,2019-12-26,,SAS,W,102,98,105.6,101.5,96.6,12.7,24.5,0.111,38,90,0.422,16,40,0.4,10,15,0.667,13,52,22,7,3,14,11
DAL,31,2019-12-28,@,GSW,W,141,121,136.9,117.4,103,11.4,21.4,0.228,48,92,0.522,24,51,0.471,21,21,1,9,46,35,11,7,13,17
DAL,32,2019-12-29,@,LAL,L,95,108,96.8,110.1,98.1,15.5,28.3,0.202,32,89,0.36,13,43,0.302,18,20,0.9,13,45,17,11,4,18,23
DAL,33,2019-12-31,@,OKC,L,101,106,107.9,113.3,93.6,8.7,30.9,0.215,33,93,0.355,15,51,0.294,20,27,0.741,17,49,19,5,4,10,24
DAL,34,2020-01-02,,BRK,W,123,111,128.7,116.2,95.5,11.9,27.3,0.169,45,89,0.506,18,38,0.474,15,17,0.882,12,46,22,4,8,13,21
DAL,35,2020-01-04,,CHO,L,120,123,121.9,124.9,89.2,8.6,27.5,0.11,47,100,0.47,15,50,0.3,11,13,0.846,14,41,28,7,4,10,25
DAL,36,2020-01-06,,CHI,W,118,110,127.8,119.2,92.3,13.2,28.2,0.167,44,84,0.524,16,41,0.39,14,19,0.737,11,43,25,5,6,14,12
DAL,37,2020-01-08,,DEN,L,106,107,113.2,114.3,93.6,12.9,17.1,0.208,39,77,0.506,12,35,0.343,16,24,0.667,6,38,27,8,6,13,18
DAL,38,2020-01-10,,LAL,L,114,129,116,131.3,98.3,7.4,31.5,0.26,39,96,0.406,11,38,0.289,25,37,0.676,17,47,19,4,3,9,20
DAL,39,2020-01-11,,PHI,W,109,91,118.4,98.9,92,14.2,27.5,0.228,40,79,0.506,11,27,0.407,18,27,0.667,11,54,22,4,8,15,20
DAL,40,2020-01-14,@,GSW,W,124,97,128.9,100.8,96.2,6.2,34.1,0.135,49,96,0.51,13,37,0.351,13,21,0.619,15,53,23,5,2,7,17
DAL,41,2020-01-15,@,SAC,W,127,123,128.1,124,99.2,9.7,29.5,0.217,47,92,0.511,13,40,0.325,20,24,0.833,13,47,24,4,2,11,18
DAL,42,2020-01-17,,POR,W,120,112,123.5,115.3,97.2,11.4,28.9,0.247,39,89,0.438,20,47,0.426,22,28,0.786,13,43,19,6,4,13,17
DAL,43,2020-01-21,,LAC,L,107,110,109,112.1,98.1,10.6,24.5,0.187,39,91,0.429,12,43,0.279,17,24,0.708,12,49,23,7,8,12,28
DAL,44,2020-01-23,@,POR,W,133,125,137.7,129.4,96.6,7.2,27.3,0.161,48,93,0.516,22,47,0.468,15,24,0.625,12,41,27,5,7,8,17
DAL,45,2020-01-25,@,UTA,L,107,112,107.8,112.9,99.2,8.1,19.2,0.072,42,97,0.433,16,41,0.39,7,13,0.538,10,44,19,6,3,9,24
DAL,46,2020-01-27,@,OKC,W,107,97,112.2,101.7,95.4,6.4,22.2,0.061,41,99,0.414,19,51,0.373,6,9,0.667,12,56,21,3,3,7,16
DAL,47,2020-01-28,,PHO,L,104,133,106.7,136.4,97.5,13.7,20.5,0.277,37,83,0.446,7,33,0.212,23,27,0.852,8,33,19,6,0,15,18
DAL,48,2020-01-31,@,HOU,L,121,128,118.1,124.9,102.5,14.3,31.8,0.233,43,90,0.478,14,36,0.389,21,27,0.778,14,52,29,2,9,17,18
DAL,49,2020-02-01,,ATL,W,123,100,124.1,100.9,99.1,8.2,20,0.16,44,94,0.468,20,39,0.513,15,16,0.938,10,53,26,6,8,9,14
DAL,50,2020-02-03,@,IND,W,112,103,119.4,109.8,93.8,11.1,27.3,0.256,36,86,0.419,18,45,0.4,22,23,0.957,12,51,20,3,2,12,15
DAL,51,2020-02-05,,MEM,L,107,121,110.3,124.7,97,7.9,22.2,0.234,34,94,0.362,17,43,0.395,22,24,0.917,12,42,19,5,6,9,18
DAL,52,2020-02-07,@,WAS,L,118,119,121.4,122.5,97.2,11.5,32.6,0.198,42,91,0.462,16,40,0.4,18,21,0.857,15,49,27,7,2,13,21
DAL,53,2020-02-08,@,CHO,W,116,100,129.7,111.8,89.4,9.8,28.9,0.126,44,87,0.506,17,35,0.486,11,11,1,11,46,29,5,6,10,18
DAL,54,2020-02-10,,UTA,L,119,123,122.5,126.6,97.1,6.8,10.3,0.313,39,83,0.47,15,43,0.349,26,31,0.839,4,26,24,8,3,7,18
DAL,55,2020-02-12,,SAC,W,130,111,128.6,109.8,101.1,10.5,9.1,0.2,48,85,0.565,17,40,0.425,17,21,0.81,3,47,34,1,7,11,18
DAL,56,2020-02-21,@,ORL,W,122,106,121.6,105.7,100.3,13.6,20,0.25,43,84,0.512,15,38,0.395,21,26,0.808,8,50,26,6,7,15,14
DAL,57,2020-02-22,@,ATL,L,107,111,104.1,108,102.8,14.1,20,0.146,40,89,0.449,14,44,0.318,13,19,0.684,10,48,23,5,10,16,22
DAL,58,2020-02-24,,MIN,W,139,123,126.3,111.8,110,9.6,28.6,0.208,51,101,0.505,16,44,0.364,21,28,0.75,14,54,28,7,3,12,28
DAL,59,2020-02-26,@,SAS,W,109,103,105.1,99.3,103.7,13.1,10.6,0.233,36,86,0.419,17,45,0.378,20,30,0.667,5,43,25,11,9,15,20
DAL,60,2020-02-28,@,MIA,L,118,126,122,130.3,96.7,10.6,10.5,0.202,40,84,0.476,21,50,0.42,17,19,0.895,4,35,25,0,3,11,25
DAL,61,2020-03-01,@,MIN,W,111,91,104.6,85.7,106.2,12,12.2,0.128,44,94,0.468,11,40,0.275,12,19,0.632,6,56,28,10,7,14,16
DAL,62,2020-03-02,@,CHI,L,107,109,107.9,109.9,99.1,14.7,23.1,0.179,40,84,0.476,12,42,0.286,15,20,0.75,9,44,26,9,5,16,20
DAL,63,2020-03-04,,NOP,W,127,123,111.6,108,103.1,13.2,14,0.179,44,95,0.463,22,50,0.44,17,24,0.708,6,49,30,6,13,16,17
DAL,64,2020-03-06,,MEM,W,121,96,123.1,97.7,98.3,8.9,25.5,0.137,45,95,0.474,18,47,0.383,13,17,0.765,13,48,30,11,9,10,11
DAL,65,2020-03-08,,IND,L,109,112,109.4,112.4,99.6,8.9,18,0.187,39,91,0.429,14,43,0.326,17,25,0.68,9,42,19,7,5,10,17
DAL,66,2020-03-10,@,SAS,L,109,119,108.7,118.7,100.3,12.6,17.1,0.087,42,92,0.457,17,44,0.386,8,11,0.727,7,42,23,8,3,14,19
DAL,67,2020-03-11,,DEN,W,113,97,115.8,99.4,97.6,8.9,26,0.185,42,92,0.457,12,35,0.343,17,23,0.739,13,52,23,9,2,10,14
DEN,1,2019-10-23,@,POR,W,108,100,108.1,100.1,99.9,17,23.9,0.272,34,81,0.42,18,32,0.563,22,27,0.815,11,45,24,11,4,19,23
DEN,2,2019-10-25,,PHO,W,108,107,100.4,99.5,97.4,11.5,15.4,0.315,36,92,0.391,7,27,0.259,29,36,0.806,8,45,21,7,12,14,26
DEN,3,2019-10-28,@,SAC,W,101,94,109.8,102.2,92,8.5,36.5,0.194,36,98,0.367,10,36,0.278,19,21,0.905,19,54,19,8,5,10,18
DEN,4,2019-10-29,,DAL,L,106,109,116.4,119.7,91.1,9.4,30.4,0.099,43,91,0.473,11,32,0.344,9,13,0.692,14,50,24,6,1,10,24
DEN,5,2019-10-31,@,NOP,L,107,122,104.1,118.7,102.8,12.7,12.5,0.157,43,89,0.483,7,26,0.269,14,16,0.875,5,35,24,5,3,14,24
DEN,6,2019-11-02,@,ORL,W,91,87,97.2,92.9,93.6,12.6,15.9,0.384,27,73,0.37,9,28,0.321,28,39,0.718,7,41,15,8,3,13,14
DEN,7,2019-11-05,,MIA,W,109,89,110.5,90.2,98.6,17,22.5,0.116,45,86,0.523,9,23,0.391,10,16,0.625,9,47,35,10,3,19,21
DEN,8,2019-11-08,,PHI,W,100,97,103.6,100.5,96.5,9.6,15.6,0.149,39,87,0.448,9,22,0.409,13,17,0.765,7,41,28,10,11,10,16
DEN,9,2019-11-10,@,MIN,W,100,98,93.2,91.3,97.2,15.6,26.9,0.109,39,101,0.386,11,28,0.393,11,17,0.647,14,57,26,6,4,20,30
DEN,10,2019-11-12,,ATL,L,121,125,123.6,127.6,97.9,2.6,30,0.173,46,104,0.442,11,41,0.268,18,22,0.818,15,40,31,7,5,3,24
DEN,11,2019-11-14,,BRK,W,101,93,102.3,94.2,98.7,6.2,24.1,0.05,43,101,0.426,10,33,0.303,5,10,0.5,14,62,26,4,3,7,14
DEN,12,2019-11-17,@,MEM,W,131,114,128.8,112.1,101.7,10.8,14.3,0.169,49,89,0.551,18,32,0.563,15,23,0.652,6,39,36,10,10,12,24
DEN,13,2019-11-20,,HOU,W,105,95,108.5,98.2,96.8,12.2,30.6,0.085,44,94,0.468,9,27,0.333,8,15,0.533,15,48,29,13,4,14,21
DEN,14,2019-11-22,,BOS,W,96,92,99.6,95.5,96.4,15.4,23.9,0.125,39,88,0.443,7,28,0.25,11,13,0.846,11,48,24,7,5,17,17
DEN,15,2019-11-24,,PHO,W,116,104,128.2,114.9,90.5,9,39.6,0.176,43,91,0.473,14,31,0.452,16,23,0.696,19,52,24,4,2,10,16
DEN,16,2019-11-26,,WAS,W,117,104,107.4,95.5,108.9,16.7,24.4,0.189,47,90,0.522,6,24,0.25,17,23,0.739,10,58,31,8,6,20,20
DEN,17,2019-11-30,@,SAC,L,97,100,95.4,98.4,92.1,14.3,19.6,0.161,36,87,0.414,11,32,0.344,14,21,0.667,9,48,23,11,5,16,21
DEN,18,2019-12-03,,LAL,L,96,105,97.7,106.9,98.2,10,14.3,0.176,37,91,0.407,6,29,0.207,16,17,0.941,7,35,26,9,4,11,25
DEN,19,2019-12-05,@,NYK,W,129,92,130.6,93.1,98.8,12,24.3,0.115,49,87,0.563,21,39,0.538,10,18,0.556,9,48,38,8,5,13,19
DEN,20,2019-12-06,@,BOS,L,95,108,99.2,112.7,95.8,10.7,26.7,0.128,39,94,0.415,5,30,0.167,12,15,0.8,12,41,18,5,4,12,15
DEN,21,2019-12-08,@,BRK,L,102,105,106,109.1,96.2,11.2,15.6,0.135,36,89,0.404,18,42,0.429,12,14,0.857,7,37,25,4,5,12,23
DEN,22,2019-12-10,@,PHI,L,92,97,95.7,100.9,96.1,12.6,11.9,0.129,37,85,0.435,7,27,0.259,11,12,0.917,5,38,29,12,9,13,14
DEN,23,2019-12-12,,POR,W,114,99,127.8,111,89.2,9.4,34.9,0.136,42,88,0.477,18,36,0.5,12,19,0.632,15,48,25,6,2,10,13
DEN,24,2019-12-14,,OKC,W,110,102,112.6,104.4,97.7,13.6,25,0.2,43,85,0.506,7,27,0.259,17,23,0.739,10,44,30,6,3,15,23
DEN,25,2019-12-15,,NYK,W,111,105,120.2,113.7,92.4,8.1,34,0.138,44,94,0.468,10,28,0.357,13,19,0.684,17,48,27,5,6,9,9
DEN,26,2019-12-18,,ORL,W,113,104,117.1,107.8,96.5,15.2,34.1,0.262,40,84,0.476,11,27,0.407,22,25,0.88,14,52,28,8,3,17,17
DEN,27,2019-12-20,,MIN,W,109,100,114.1,104.7,95.6,13.7,25,0.124,44,89,0.494,10,28,0.357,11,12,0.917,10,44,27,9,5,15,22
DEN,28,2019-12-22,@,LAL,W,128,104,138.7,112.7,92.3,7.1,38.6,0.293,45,92,0.489,11,32,0.344,27,30,0.9,17,44,31,13,2,8,19
DEN,29,2019-12-23,@,PHO,W,113,111,113.3,111.3,99.7,19.9,17.1,0.154,43,78,0.551,15,28,0.536,12,15,0.8,6,39,31,10,1,21,24
DEN,30,2019-12-25,,NOP,L,100,112,104.7,117.2,95.5,10.7,25.5,0.152,37,92,0.402,12,37,0.324,14,18,0.778,13,40,24,10,4,12,15
DEN,31,2019-12-28,,MEM,W,119,110,118,109.1,100.8,8.7,22.7,0.215,45,93,0.484,9,29,0.31,20,27,0.741,10,43,28,9,4,10,20
DEN,32,2019-12-29,,SAC,W,120,115,128.4,123.1,93.5,11.3,27.8,0.346,42,81,0.519,8,29,0.276,28,31,0.903,10,37,23,6,4,12,18
DEN,33,2019-12-31,@,HOU,L,104,130,104.9,131.1,99.1,13.7,31.8,0.062,45,97,0.464,8,25,0.32,6,9,0.667,14,39,25,7,5,16,22
DEN,34,2020-01-02,@,IND,W,124,116,135.4,126.6,91.6,9.2,37.5,0.276,46,87,0.529,8,27,0.296,24,27,0.889,15,47,27,7,2,10,21
DEN,35,2020-01-04,@,WAS,L,114,128,114.6,128.7,99.5,10.5,20.5,0.322,40,87,0.46,6,29,0.207,28,34,0.824,9,33,18,6,2,12,23
DEN,36,2020-01-06,@,ATL,W,123,115,127.6,119.3,96.4,3.7,18.9,0.217,47,92,0.511,9,27,0.333,20,27,0.741,7,41,27,4,6,4,23
DEN,37,2020-01-08,@,DAL,W,107,106,114.3,113.2,93.6,11.3,22,0.188,41,85,0.482,9,24,0.375,16,20,0.8,9,38,27,7,5,12,22
DEN,38,2020-01-11,,CLE,L,103,111,108.3,116.7,95.1,4.6,20.4,0.137,41,95,0.432,8,39,0.205,13,18,0.722,11,42,23,9,4,5,13
DEN,39,2020-01-12,,LAC,W,114,104,118.2,107.8,96.4,12.2,22,0.377,37,77,0.481,11,25,0.44,29,37,0.784,9,44,24,7,4,13,26
DEN,40,2020-01-15,,CHO,W,100,86,107,92,93.4,10.9,8.3,0.19,38,79,0.481,9,28,0.321,15,25,0.6,3,40,28,8,7,11,18
DEN,41,2020-01-16,@,GSW,W,134,131,118.3,115.6,102.6,15.2,31.9,0.23,47,100,0.47,17,35,0.486,23,26,0.885,15,56,31,11,6,20,23
DEN,42,2020-01-19,,IND,L,107,115,112.5,121,95.1,8.1,30.8,0.25,41,88,0.466,3,23,0.13,22,32,0.688,12,44,22,10,4,9,19
DEN,43,2020-01-20,@,MIN,W,107,100,114.9,107.3,93.2,12,29.5,0.111,43,90,0.478,11,31,0.355,10,12,0.833,13,53,26,9,1,13,18
DEN,44,2020-01-22,@,HOU,L,105,121,107.4,123.7,97.8,13.2,27.1,0.12,42,92,0.457,10,28,0.357,11,15,0.733,13,40,25,12,6,15,21
DEN,45,2020-01-24,@,NOP,W,113,106,116.8,109.6,96.7,8.7,42.1,0.189,40,106,0.377,13,41,0.317,20,20,1,24,56,26,14,6,11,19
DEN,46,2020-01-26,,HOU,W,117,110,117.8,110.8,99.3,12.1,27.5,0.194,44,93,0.473,11,28,0.393,18,20,0.9,11,42,28,10,3,14,23
DEN,47,2020-01-28,@,MEM,L,96,104,99,107.3,97,16.8,27.1,0.174,32,86,0.372,17,45,0.378,15,18,0.833,13,44,23,9,4,19,16
DEN,48,2020-01-30,,UTA,W,106,100,113.1,106.7,93.7,8.7,21.1,0.2,40,85,0.471,9,27,0.333,17,21,0.81,8,43,25,7,5,9,16
DEN,49,2020-01-31,@,MIL,W,127,115,116.7,105.6,108.9,10.3,15.2,0.09,48,100,0.48,22,46,0.478,9,9,1,7,50,29,8,10,12,19
DEN,50,2020-02-02,@,DET,L,123,128,122.7,127.7,90.8,7.8,30.4,0.177,48,96,0.5,10,32,0.313,17,22,0.773,14,47,30,7,7,9,19
DEN,51,2020-02-04,,POR,W,127,99,129.6,101,98,11.4,30.8,0.2,46,90,0.511,17,34,0.5,18,25,0.72,12,50,30,5,7,13,22
DEN,52,2020-02-05,@,UTA,W,98,95,102.1,98.9,96,10.1,25,0.144,39,90,0.433,7,30,0.233,13,18,0.722,13,52,23,8,5,11,17
DEN,53,2020-02-08,@,PHO,W,117,108,122,112.6,95.9,13.3,21.1,0.195,45,82,0.549,11,28,0.393,16,21,0.762,8,40,23,7,7,14,22
DEN,54,2020-02-10,,SAS,W,127,120,138.5,130.9,91.7,10,25,0.238,45,80,0.563,18,35,0.514,19,23,0.826,9,37,34,7,5,10,16
DEN,55,2020-02-12,,LAL,L,116,120,110.9,114.7,94.7,9.3,7.1,0.193,44,88,0.5,11,25,0.44,17,22,0.773,3,42,32,9,2,10,26
DEN,56,2020-02-21,@,OKC,L,101,113,106.1,118.7,95.2,17.9,21.1,0.273,37,77,0.481,6,27,0.222,21,23,0.913,8,39,19,7,3,19,20
DEN,57,2020-02-23,,MIN,W,128,116,122.4,110.9,104.6,11.8,14.7,0.122,53,90,0.589,11,30,0.367,11,17,0.647,5,38,29,9,7,13,24
DEN,58,2020-02-25,,DET,W,115,98,125.1,106.6,92,17.4,30,0.237,44,76,0.579,9,19,0.474,18,22,0.818,9,41,33,12,3,18,20
DEN,59,2020-02-28,@,LAC,L,103,132,107.9,138.3,95.4,12.5,27.1,0.132,41,91,0.451,9,25,0.36,12,16,0.75,13,39,19,7,6,14,18
DEN,60,2020-03-01,,TOR,W,133,118,129.7,115.1,102.6,14.3,20,0.253,47,83,0.566,18,36,0.5,21,30,0.7,7,41,38,6,1,16,22
DEN,61,2020-03-03,,GSW,L,100,116,105.9,122.9,94.4,13.2,38.8,0.218,39,87,0.448,3,20,0.15,19,26,0.731,19,53,22,6,5,15,26
DEN,62,2020-03-05,@,CHO,W,114,112,127.5,125.2,89.4,11.6,34.2,0.217,44,83,0.53,8,26,0.308,18,20,0.9,13,38,29,7,5,12,21
DEN,63,2020-03-07,@,CLE,L,102,104,108.6,110.8,93.9,16.1,22.5,0.035,43,85,0.506,13,32,0.406,3,8,0.375,9,33,28,15,0,17,19
DEN,64,2020-03-09,,MIL,W,109,95,106.5,92.8,102.3,10.8,14,0.117,41,94,0.436,16,41,0.39,11,12,0.917,6,48,28,11,8,12,20
DEN,65,2020-03-11,@,DAL,L,97,113,99.4,115.8,97.6,14.8,7.1,0.06,39,83,0.47,14,39,0.359,5,8,0.625,3,40,23,6,4,15,20
DET,1,2019-10-23,@,IND,W,119,110,118.8,109.8,100.2,16.3,27.8,0.333,41,78,0.526,11,24,0.458,26,33,0.788,10,45,26,5,6,18,21
DET,2,2019-10-24,,ATL,L,100,117,103.3,120.9,96.8,12.1,20.9,0.235,35,85,0.412,10,37,0.27,20,22,0.909,9,39,20,6,5,13,20
DET,3,2019-10-26,,PHI,L,111,117,100.3,105.7,110.7,20,13.5,0.276,41,76,0.539,8,19,0.421,21,36,0.583,5,35,20,11,7,23,28
DET,4,2019-10-28,,IND,W,96,94,103.1,101,93.1,19,22,0.111,37,81,0.457,13,24,0.542,9,10,0.9,9,48,21,2,3,20,18
DET,5,2019-10-30,@,TOR,L,113,125,110,121.6,102.8,16.9,26.2,0.193,41,88,0.466,14,30,0.467,17,23,0.739,11,42,30,5,1,20,15
DET,6,2019-11-01,@,CHI,L,106,112,104.9,110.9,101,14.3,24.4,0.212,41,85,0.482,6,29,0.207,18,24,0.75,10,47,21,11,8,16,21
DET,7,2019-11-02,,BRK,W,113,109,109.4,105.5,103.3,7.2,11.6,0.253,41,91,0.451,8,27,0.296,23,29,0.793,5,41,21,8,7,8,18
DET,8,2019-11-04,@,WAS,L,99,115,103.5,120.2,95.7,17.1,31.7,0.22,34,82,0.415,13,27,0.481,18,23,0.783,13,42,21,4,9,19,20
DET,9,2019-11-06,,NYK,W,122,102,127.5,106.6,95.7,15.2,24.2,0.241,44,79,0.557,15,30,0.5,19,24,0.792,8,43,37,7,1,16,17
DET,10,2019-11-08,@,IND,L,106,112,111,117.2,95.5,13.8,22.7,0.174,39,86,0.453,13,33,0.394,15,18,0.833,10,40,27,6,4,15,26
DET,11,2019-11-11,,MIN,L,114,120,114.2,120.3,99.8,14.8,26.1,0.23,39,87,0.448,16,32,0.5,20,25,0.8,12,39,25,9,5,17,22
DET,12,2019-11-12,@,MIA,L,108,117,109.6,118.8,98.5,14.5,19,0.321,34,78,0.436,15,41,0.366,25,37,0.676,8,32,27,9,9,16,28
DET,13,2019-11-15,@,CHO,L,106,109,110.7,113.8,95.8,18.1,20.6,0.136,40,81,0.494,15,35,0.429,11,11,1,7,42,25,3,3,19,19
DET,14,2019-11-20,@,CHI,L,89,109,89.1,109.1,99.9,14.1,21.8,0.301,28,83,0.337,8,33,0.242,25,32,0.781,12,46,23,6,8,16,20
DET,15,2019-11-22,,ATL,W,128,103,130.2,104.8,98.3,16.5,33.3,0.159,49,82,0.598,17,34,0.5,13,20,0.65,12,42,30,13,10,18,17
DET,16,2019-11-23,@,MIL,L,90,104,87.8,101.4,102.5,13.6,13,0.066,37,91,0.407,10,35,0.286,6,10,0.6,6,40,22,7,3,15,18
DET,17,2019-11-25,,ORL,W,103,88,111.8,95.5,92.1,12.6,21.4,0.266,34,79,0.43,14,38,0.368,21,25,0.84,9,49,23,6,5,13,20
DET,18,2019-11-27,@,CHO,L,101,102,113.1,114.3,89.3,7.8,22.5,0.102,41,88,0.466,10,32,0.313,9,15,0.6,9,46,23,2,2,8,18
DET,19,2019-11-29,,CHO,L,107,110,122.1,125.6,87.6,12.4,35,0.12,41,83,0.494,15,35,0.429,10,20,0.5,14,45,27,5,4,13,16
DET,20,2019-12-01,,SAS,W,132,98,135.8,100.8,97.2,13.5,31.4,0.148,52,88,0.591,15,31,0.484,13,18,0.722,11,50,33,5,5,15,14
DET,21,2019-12-03,@,CLE,W,127,94,133,98.4,95.5,9.2,26.3,0.074,51,94,0.543,18,35,0.514,7,11,0.636,10,46,33,11,7,10,16
DET,22,2019-12-04,,MIL,L,103,127,100,123.3,103,9.7,16.7,0.151,39,93,0.419,11,36,0.306,14,22,0.636,9,40,25,5,3,11,19
DET,23,2019-12-06,,IND,W,108,101,111.6,104.4,96.8,14.7,33.3,0.218,39,87,0.448,11,25,0.44,19,26,0.731,14,51,21,7,5,17,17
DET,24,2019-12-09,@,NOP,W,105,103,103.9,101.9,101,15.7,22.2,0.259,36,85,0.424,11,35,0.314,22,27,0.815,10,46,15,6,3,18,20
DET,25,2019-12-12,,DAL,L,111,122,113.8,125.1,97.5,6.6,10.9,0.18,40,89,0.449,15,42,0.357,16,23,0.696,5,34,23,8,2,7,16
DET,26,2019-12-14,@,HOU,W,115,107,109.5,101.9,105,12,23.9,0.228,41,92,0.446,12,37,0.324,21,25,0.84,11,55,27,6,6,14,15
DET,27,2019-12-16,,WAS,L,119,133,118.3,132.3,100.6,12.2,30,0.279,41,86,0.477,13,39,0.333,24,34,0.706,12,36,29,6,4,14,19
DET,28,2019-12-18,,TOR,L,99,112,99.7,112.8,99.3,13.4,22.2,0.172,39,87,0.448,6,35,0.171,15,22,0.682,10,48,19,7,6,15,17
DET,29,2019-12-20,@,BOS,L,93,114,91.3,111.9,101.9,20.4,22.4,0.165,34,85,0.4,11,31,0.355,14,19,0.737,11,36,21,13,2,24,16
DET,30,2019-12-21,,CHI,L,107,119,111.1,123.6,96.3,14.8,14.6,0.126,40,87,0.46,16,35,0.457,11,12,0.917,6,29,30,14,4,16,20
DET,31,2019-12-23,,PHI,L,109,125,115.1,132,94.7,12.4,16.2,0.155,43,84,0.512,10,30,0.333,13,18,0.722,6,30,27,9,1,13,14
DET,32,2019-12-26,,WAS,W,132,102,136.4,105.4,96.8,12.6,29.7,0.244,46,86,0.535,19,48,0.396,21,26,0.808,11,48,32,5,5,14,23
DET,33,2019-12-28,@,SAS,L,109,136,106.3,132.7,102.5,9.6,18.5,0.189,40,90,0.444,12,36,0.333,17,30,0.567,10,40,20,9,5,11,15
DET,34,2019-12-30,@,UTA,L,81,104,85.7,110.1,94.5,16,21.3,0.215,30,79,0.38,4,14,0.286,17,23,0.739,10,43,14,10,5,17,20
DET,35,2020-01-02,@,LAC,L,112,126,106.8,120.1,104.9,9.1,23.1,0.266,40,94,0.426,7,33,0.212,25,35,0.714,12,45,20,10,1,11,23
DET,36,2020-01-04,@,GSW,W,111,104,112.4,105.3,98.8,18.9,22.5,0.169,43,83,0.518,11,27,0.407,14,16,0.875,9,46,24,13,5,21,25
DET,37,2020-01-05,@,LAL,L,99,106,97.6,104.5,101.5,14.6,13.3,0.385,29,78,0.372,11,26,0.423,30,35,0.857,6,43,21,8,6,16,22
DET,38,2020-01-07,@,CLE,W,115,113,119.9,117.8,95.9,8.2,22.2,0.198,42,91,0.462,13,33,0.394,18,21,0.857,10,40,26,8,3,9,15
DET,39,2020-01-09,,CLE,L,112,115,112.7,115.7,90,12.5,39.6,0.102,48,98,0.49,6,20,0.3,10,16,0.625,19,46,20,8,9,15,25
DET,40,2020-01-11,,CHI,L,99,108,105.8,115.4,93.6,17.5,29.3,0.231,36,78,0.462,9,28,0.321,18,27,0.667,12,42,22,7,4,19,20
DET,41,2020-01-13,,NOP,L,110,117,98.2,104.4,101.5,7.6,10.2,0.192,40,99,0.404,11,32,0.344,19,24,0.792,5,43,27,11,8,9,25
DET,42,2020-01-15,@,BOS,W,116,103,124.5,110.5,93.2,11.3,8.8,0.128,47,78,0.603,12,32,0.375,10,19,0.526,3,34,30,8,4,11,19
DET,43,2020-01-18,@,ATL,W,136,103,133.1,100.8,102.2,14.9,33.3,0.221,51,86,0.593,15,32,0.469,19,25,0.76,11,41,31,12,8,17,18
DET,44,2020-01-20,@,WAS,L,100,106,99,104.9,101,14.8,22.4,0.157,38,89,0.427,10,32,0.313,14,20,0.7,11,41,19,10,5,17,18
DET,45,2020-01-22,,SAC,W,127,106,121.4,101.4,104.6,15.5,8.3,0.507,39,73,0.534,12,29,0.414,37,44,0.841,3,48,19,9,4,17,19
DET,46,2020-01-24,,MEM,L,112,125,114.2,127.5,98,6.3,19.6,0.253,39,91,0.429,11,32,0.344,23,31,0.742,10,37,23,8,1,7,23
