Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,TOV%,ORB%,FT/FGA,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
ATL,37,2020-01-06,,DEN,L,115,123,119.3,127.6,96.4,9.9,10.5,0.351,35,77,0.455,18,39,0.462,27,32,0.844,4,34,24,3,5,10,22
ATL,38,2020-01-08,,HOU,L,115,122,108,114.6,106.5,8.5,27.1,0.226,39,106,0.368,13,44,0.295,24,27,0.889,16,54,20,6,8,11,29
ATL,39,2020-01-10,@,WAS,L,101,111,92.9,102.1,108.7,15.3,19.1,0.135,41,89,0.461,7,29,0.241,12,24,0.5,9,56,19,5,9,18,26
ATL,40,2020-01-12,@,BRK,L,86,108,80.5,101,106.9,10.5,6.8,0.103,32,97,0.33,12,48,0.25,10,11,0.909,4,33,23,16,4,12,23
ATL,41,2020-01-14,,PHO,W,123,110,122.4,109.5,100.5,12.8,28.6,0.183,46,93,0.495,14,31,0.452,17,20,0.85,12,46,25,3,10,15,25
ATL,42,2020-01-17,@,SAS,W,121,120,115.5,114.6,104.7,16.8,19,0.244,41,82,0.5,19,40,0.475,20,27,0.741,8,43,21,10,6,19,18
ATL,43,2020-01-18,,DET,L,103,136,100.8,133.1,102.2,16,25,0.14,40,93,0.43,10,34,0.294,13,15,0.867,10,32,18,9,6,19,20
ATL,44,2020-01-20,,TOR,L,117,122,106.5,111.1,109.8,19.1,21.4,0.277,41,83,0.494,12,33,0.364,23,33,0.697,9,50,26,9,8,23,34
ATL,45,2020-01-22,,LAC,W,102,95,102.7,95.6,99.4,11.8,38.3,0.186,36,102,0.353,11,35,0.314,19,23,0.826,23,63,21,8,3,15,31
ATL,46,2020-01-24,@,OKC,L,111,140,107.4,135.5,103.3,9.8,20.4,0.174,42,92,0.457,11,36,0.306,16,20,0.8,10,37,24,6,7,11,27
ATL,47,2020-01-26,,WAS,W,152,133,141.9,124.1,107.1,11.5,31.6,0.312,54,93,0.581,15,35,0.429,29,34,0.853,12,48,30,7,3,14,35
ATL,48,2020-01-28,@,TOR,L,114,130,104.9,119.6,108.7,14.9,19.2,0.217,41,92,0.446,12,47,0.255,20,25,0.8,10,44,28,10,2,18,23
ATL,49,2020-01-30,,PHI,W,127,117,120.6,111.1,105.3,13.4,22.7,0.368,42,87,0.483,11,35,0.314,32,37,0.865,10,48,29,5,4,16,29
ATL,50,2020-02-01,@,DAL,L,100,123,100.9,124.1,99.1,9.9,18.9,0.176,37,91,0.407,10,33,0.303,16,21,0.762,10,50,19,6,4,11,15
ATL,51,2020-02-03,,BOS,L,115,123,114.5,122.4,100.5,15.4,15.4,0.226,42,84,0.5,12,30,0.4,19,21,0.905,6,32,22,9,6,17,19
ATL,52,2020-02-05,@,MIN,W,127,120,117.7,111.2,107.9,16.6,20.6,0.341,43,82,0.524,13,32,0.406,28,30,0.933,7,44,23,7,4,19,22
ATL,53,2020-02-07,@,BOS,L,107,112,110.5,115.6,96.9,12.6,25,0.279,35,86,0.407,13,39,0.333,24,26,0.923,12,46,21,7,8,14,21
ATL,54,2020-02-09,,NYK,W,140,135,116.3,112.1,99.6,10.3,21.2,0.259,49,108,0.454,14,40,0.35,28,31,0.903,11,50,29,9,8,14,24
ATL,55,2020-02-10,@,ORL,L,126,135,126.5,135.6,99.6,11.2,11.4,0.182,47,88,0.534,16,37,0.432,16,17,0.941,4,31,33,5,5,12,18
ATL,56,2020-02-12,@,CLE,L,105,127,103,124.5,102,15.2,19.1,0.238,36,84,0.429,13,34,0.382,20,25,0.8,9,38,24,11,5,17,26
ATL,57,2020-02-20,,MIA,W,129,124,118.4,113.8,108.9,13.7,14.3,0.365,41,85,0.482,16,35,0.457,31,35,0.886,6,41,22,8,6,16,27
ATL,58,2020-02-22,,DAL,W,111,107,108,104.1,102.8,8.4,25.5,0.173,43,98,0.439,8,37,0.216,17,26,0.654,13,53,27,9,4,10,21
