,Team,G_x,Date,Opp,W/L_x,Tm_x,Opp.1_x,ORtg_x,Pace_x,TOV%_x,ORB%_x,FT/FGA_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,ORB_x,TRB_x,TOV_x,PF_x,OppDefRtg
39,ATL,40,2020-01-12,BRK,L,86,108,80.5,106.9,10.5,6.8,0.10300000000000001,32,97,0.33,12,48,0.25,4,33,12,23,80.5
40,ATL,41,2020-01-14,PHO,W,123,110,122.4,100.5,12.8,28.6,0.183,46,93,0.495,14,31,0.452,12,46,15,25,122.4
41,ATL,42,2020-01-17,SAS,W,121,120,115.5,104.7,16.8,19.0,0.244,41,82,0.5,19,40,0.475,8,43,19,18,115.5
42,ATL,43,2020-01-18,DET,L,103,136,100.8,102.2,16.0,25.0,0.14,40,93,0.43,10,34,0.294,10,32,19,20,100.8
43,ATL,44,2020-01-20,TOR,L,117,122,106.5,109.8,19.1,21.4,0.27699999999999997,41,83,0.494,12,33,0.364,9,50,23,34,106.5
44,ATL,45,2020-01-22,LAC,W,102,95,102.7,99.4,11.8,38.3,0.18600000000000003,36,102,0.353,11,35,0.314,23,63,15,31,102.7
45,ATL,46,2020-01-24,OKC,L,111,140,107.4,103.3,9.8,20.4,0.174,42,92,0.457,11,36,0.306,10,37,11,27,107.4
46,ATL,47,2020-01-26,WAS,W,152,133,141.9,107.1,11.5,31.6,0.312,54,93,0.581,15,35,0.429,12,48,14,35,141.9
47,ATL,48,2020-01-28,TOR,L,114,130,104.9,108.7,14.9,19.2,0.217,41,92,0.446,12,47,0.255,10,44,18,23,104.9
48,ATL,49,2020-01-30,PHI,W,127,117,120.6,105.3,13.4,22.7,0.368,42,87,0.483,11,35,0.314,10,48,16,29,120.6
49,ATL,50,2020-02-01,DAL,L,100,123,100.9,99.1,9.9,18.9,0.17600000000000002,37,91,0.40700000000000003,10,33,0.303,10,50,11,15,100.9
50,ATL,51,2020-02-03,BOS,L,115,123,114.5,100.5,15.4,15.4,0.226,42,84,0.5,12,30,0.4,6,32,17,19,114.5
51,ATL,52,2020-02-05,MIN,W,127,120,117.7,107.9,16.6,20.6,0.341,43,82,0.524,13,32,0.406,7,44,19,22,117.7
52,ATL,53,2020-02-07,BOS,L,107,112,110.5,96.9,12.6,25.0,0.27899999999999997,35,86,0.40700000000000003,13,39,0.33299999999999996,12,46,14,21,110.5
53,ATL,54,2020-02-09,NYK,W,140,135,116.3,99.6,10.3,21.2,0.259,49,108,0.45399999999999996,14,40,0.35,11,50,14,24,116.3
54,ATL,55,2020-02-10,ORL,L,126,135,126.5,99.6,11.2,11.4,0.182,47,88,0.534,16,37,0.43200000000000005,4,31,12,18,126.5
55,ATL,56,2020-02-12,CLE,L,105,127,103.0,102.0,15.2,19.1,0.23800000000000002,36,84,0.429,13,34,0.382,9,38,17,26,103.0
56,ATL,57,2020-02-20,MIA,W,129,124,118.4,108.9,13.7,14.3,0.365,41,85,0.48200000000000004,16,35,0.457,6,41,16,27,118.4
57,ATL,58,2020-02-22,DAL,W,111,107,108.0,102.8,8.4,25.5,0.17300000000000001,43,98,0.439,8,37,0.21600000000000003,13,53,10,21,108.0
58,ATL,59,2020-02-24,PHI,L,112,129,109.2,102.5,10.7,26.4,0.247,40,97,0.41200000000000003,8,38,0.21100000000000002,14,44,13,26,109.2
59,ATL,60,2020-02-26,ORL,L,120,130,117.0,102.6,7.9,18.8,0.245,42,94,0.447,13,36,0.361,9,42,9,22,117.0
60,ATL,61,2020-02-28,BRK,W,141,118,138.6,101.7,6.8,32.6,0.22699999999999998,50,97,0.515,19,39,0.48700000000000004,15,52,8,15,138.6
61,ATL,62,2020-02-29,POR,W,129,117,123.2,104.7,16.1,14.7,0.226,46,84,0.5479999999999999,18,42,0.429,5,36,18,18,123.2
62,ATL,63,2020-03-02,MEM,L,88,127,85.6,102.7,13.8,25.8,0.152,32,99,0.32299999999999995,9,35,0.257,16,43,17,21,85.6
63,ATL,64,2020-03-06,WAS,L,112,118,113.9,98.3,15.7,17.1,0.09300000000000001,46,86,0.535,12,32,0.375,6,36,17,25,113.9
