Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,Rk ATL,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
42,42,2020-01-15,,WAS,W,115,106,116.7,107.6,98.6,0.259,0.447,0.607,51.9,60.5,11.2,9.6,,0.588,13.7,20.5,0.176,,0.538,15,82.5,0.266,42,42,2020-01-15,,WAS,W,115,106,43,85,0.506,14,38,0.368,15,22,0.682,8,41,26,11,5,15,19
43,43,2020-01-17,@,PHI,L,89,100,97.2,109.2,91.5,0.185,0.432,0.508,45.7,60,8.7,5.7,,0.481,15.4,14.6,0.136,,0.543,11.2,77.5,0.134,43,43,2020-01-17,@,PHI,L,89,100,35,81,0.432,8,35,0.229,11,15,0.733,6,37,21,8,3,16,14
44,44,2020-01-18,,CLE,W,118,116,117.2,115.2,100.7,0.195,0.287,0.624,41.9,52.1,17.9,9.1,,0.603,11.3,12.1,0.149,,0.651,24.5,75.9,0.288,44,44,2020-01-18,,CLE,W,118,116,48,87,0.552,9,25,0.36,13,17,0.765,4,26,25,18,4,12,24
45,45,2020-01-20,@,MIL,L,98,111,92,104.2,106.6,0.196,0.522,0.49,44.8,52.9,10.3,3.9,,0.446,13.8,13.5,0.174,,0.656,20.9,91.4,0.13,45,45,2020-01-20,@,MIL,L,98,111,34,92,0.37,14,48,0.292,16,18,0.889,7,39,18,11,2,16,21
46,46,2020-01-22,,MIN,W,117,110,116.1,109.2,100.8,0.44,0.357,0.583,53.8,53.8,8.9,4.8,,0.518,10.7,26.7,0.357,,0.564,15.7,79.2,0.151,46,46,2020-01-22,,MIN,W,117,110,39,84,0.464,9,30,0.3,30,37,0.811,12,50,21,9,2,12,22
47,47,2020-01-24,,SAC,L,81,98,86.1,104.1,94.1,0.177,0.468,0.476,50.6,74.2,6.4,8.2,,0.443,18.2,18.6,0.139,,0.494,12.6,83.3,0.222,47,47,2020-01-24,,SAC,L,81,98,31,79,0.392,8,37,0.216,11,14,0.786,8,43,23,6,4,19,21
48,48,2020-01-25,@,CLE,W,118,106,122.4,110,96.4,0.282,0.388,0.617,45.6,54.5,15.6,3.7,,0.588,8.6,17.9,0.212,,0.577,19.1,72.5,0.107,48,48,2020-01-25,@,CLE,W,118,106,44,85,0.518,12,33,0.364,18,24,0.75,7,36,24,15,2,9,16
49,49,2020-01-27,,SAS,W,110,109,117.5,116.4,93.6,0.161,0.398,0.552,51.5,66.7,8.5,3.5,,0.527,8.3,28.6,0.129,,0.524,10.2,75,0.28,49,49,2020-01-27,,SAS,W,110,109,42,93,0.452,14,37,0.378,12,15,0.8,14,50,28,8,2,9,23
50,50,2020-01-29,@,IND,L,106,115,104.6,113.5,91.8,0.176,0.388,0.579,42.5,57.8,9.9,4.8,,0.565,16.4,15.4,0.118,,0.556,14.7,68.3,0.18,50,50,2020-01-29,@,IND,L,106,115,45,85,0.529,6,33,0.182,10,15,0.667,6,34,26,10,3,18,17
51,51,2020-01-31,@,BRK,L,118,133,116.6,131.5,101.2,0.302,0.395,0.606,50.7,64.3,6.9,6.1,,0.558,11.8,25.6,0.256,,0.719,18,84.4,0.225,51,51,2020-01-31,@,BRK,L,118,133,42,86,0.488,12,34,0.353,22,26,0.846,11,38,27,7,3,13,21
52,52,2020-02-02,@,TOR,L,102,129,106.4,134.5,95.9,0.289,0.533,0.503,47.1,71.4,10.4,0,,0.472,13.6,33.3,0.189,,0.655,13.7,66.7,0.226,52,52,2020-02-02,@,TOR,L,102,129,35,90,0.389,15,48,0.313,17,26,0.654,17,41,25,10,0,16,21
53,53,2020-02-06,,NOP,L,119,125,112.6,118.3,105.7,0.247,0.312,0.577,47.1,54.3,10.4,2,,0.565,12.7,23.4,0.151,,0.655,18,76.3,0.126,53,53,2020-02-06,,NOP,L,119,125,46,93,0.495,13,29,0.448,14,23,0.609,11,40,25,11,1,15,16
54,54,2020-02-09,@,PHI,L,111,118,114.3,121.5,97.1,0.193,0.364,0.581,48.8,53.5,8.2,5.3,,0.557,15.9,32.6,0.148,,0.565,14,65.1,0.274,54,54,2020-02-09,@,PHI,L,111,118,43,88,0.489,12,32,0.375,13,17,0.765,14,42,23,8,3,18,24
55,55,2020-02-11,@,WAS,L,114,126,107.2,118.5,106.3,0.152,0.424,0.581,50,56.8,8.5,7,,0.565,16.9,22.2,0.109,,0.601,14.6,79.1,0.213,55,55,2020-02-11,@,WAS,L,114,126,44,92,0.478,16,39,0.41,10,14,0.714,10,44,25,9,4,20,22
56,56,2020-02-20,,CHO,L,93,103,100.1,110.9,92.9,0.218,0.356,0.488,46.3,64.9,12.9,6.5,,0.466,12,25.5,0.138,,0.527,16.4,74.3,0.338,56,56,2020-02-20,,CHO,L,93,103,37,87,0.425,7,31,0.226,12,19,0.632,12,38,24,12,3,13,23
57,57,2020-02-22,,PHO,L,104,112,103.8,111.7,100.2,0.253,0.458,0.564,44.7,50,11,12.5,,0.518,21.3,26.8,0.217,,0.5,16,61.4,0.302,57,57,2020-02-22,,PHO,L,104,112,36,83,0.434,14,38,0.368,18,21,0.857,11,38,18,11,7,25,29
58,58,2020-02-23,,WAS,W,126,117,119.3,110.8,105.6,0.346,0.457,0.675,52.1,60,14.2,9.3,,0.667,21.8,27,0.222,,0.589,21.3,79.4,0.425,58,58,2020-02-23,,WAS,W,126,117,45,81,0.556,18,37,0.486,18,28,0.643,10,37,27,15,4,26,28
59,59,2020-02-25,,OKC,L,122,124,128.2,130.3,95.2,0.093,0.32,0.604,51.3,42.3,6.3,8.7,,0.598,9.8,30.2,0.062,,0.645,10.7,78.8,0.342,59,59,2020-02-25,,OKC,L,122,124,52,97,0.536,12,31,0.387,6,9,0.667,13,39,22,6,4,11,25
60,60,2020-02-29,@,NYK,L,115,125,122.9,133.5,93.6,0.258,0.393,0.58,39.8,63.4,12.8,4.6,,0.556,7.5,28.3,0.18,,0.6,13.9,54.1,0.271,60,60,2020-02-29,@,NYK,L,115,125,41,89,0.461,17,35,0.486,16,23,0.696,13,33,26,12,3,8,22
61,61,2020-03-02,,DAL,W,109,107,109.9,107.9,99.1,0.181,0.383,0.537,48.8,54.5,7.1,11.9,,0.521,12.1,25.5,0.117,,0.548,14.7,76.9,0.179,61,61,2020-03-02,,DAL,W,109,107,44,94,0.468,10,36,0.278,11,17,0.647,12,42,24,7,5,14,21
62,62,2020-03-04,@,MIN,L,108,115,111.1,118.3,97.2,0.117,0.319,0.546,48.2,53.3,10.3,13.2,,0.537,9.2,21.4,0.074,,0.611,15.6,75.6,0.198,62,62,2020-03-04,@,MIN,L,108,115,45,94,0.479,11,30,0.367,7,11,0.636,9,40,24,10,5,10,19
63,63,2020-03-06,,IND,L,102,108,102.4,108.4,99.6,0.155,0.392,0.492,49.5,67.5,12,11.3,,0.459,14.1,32.1,0.134,,0.56,19,73.7,0.32,63,63,2020-03-06,,IND,L,102,108,40,97,0.412,9,38,0.237,13,15,0.867,17,45,27,12,6,17,25
64,64,2020-03-08,@,BRK,L,107,110,103.8,106.7,103.1,0.272,0.37,0.519,38.3,59,13.6,8.8,,0.489,6.4,10,0.185,,0.586,25.4,83.9,0.547,64,64,2020-03-08,@,BRK,L,107,110,39,92,0.424,12,34,0.353,17,25,0.68,5,31,23,14,3,7,31
65,65,2020-03-10,,CLE,W,108,103,111.9,106.7,96.5,0.179,0.405,0.596,56.8,54.8,8.3,10.7,,0.571,18.8,35,0.143,,0.538,16.6,78,0.213,65,65,2020-03-10,,CLE,W,108,103,42,84,0.5,12,34,0.353,12,15,0.8,14,46,23,8,6,21,21
Rk CLE,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,Rk CLE,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,ORL,L,85,94,86.1,95.2,98.7,0.17,0.386,0.449,54,60.6,8.1,3.6,,0.426,14.5,20.4,0.114,,0.483,12.1,86.3,0.128,1,1,2019-10-23,@,ORL,L,85,94,33,88,0.375,9,34,0.265,10,15,0.667,10,54,20,8,2,16,15
2,2,2019-10-26,,IND,W,110,99,110.9,99.8,99.2,0.363,0.388,0.593,55,57.5,9.1,11.9,,0.569,16.3,28.6,0.238,,0.506,15.5,84.2,0.126,2,2,2019-10-26,,IND,W,110,99,40,80,0.5,11,31,0.355,19,29,0.655,12,44,23,9,7,18,20
3,3,2019-10-28,@,MIL,L,112,129,106.7,122.9,104.9,0.12,0.39,0.532,49,42.2,1.9,5.6,,0.51,9.5,19.2,0.1,,0.614,10.5,82.6,0.174,3,3,2019-10-28,@,MIL,L,112,129,45,100,0.45,12,39,0.308,10,12,0.833,10,48,19,2,3,11,22
4,4,2019-10-30,,CHI,W,117,111,123.2,116.9,95,0.397,0.308,0.638,59.5,61,3.2,13.7,,0.59,15.6,30.3,0.321,,0.511,5.7,80.4,0.211,4,4,2019-10-30,,CHI,W,117,111,41,78,0.526,10,24,0.417,25,31,0.806,10,47,25,3,7,17,21
5,5,2019-11-01,@,IND,L,95,102,89.5,96.1,106.2,0.287,0.368,0.485,43.7,62.5,8.5,1.4,,0.431,14,6.3,0.23,,0.432,11,76.4,0.198,5,5,2019-11-01,@,IND,L,95,102,32,87,0.368,11,32,0.344,20,25,0.8,3,45,20,9,1,16,21
6,6,2019-11-03,,DAL,L,111,131,111.6,131.7,99.5,0.229,0.5,0.525,44.6,61.5,9,7.5,,0.5,7.8,23.1,0.156,,0.638,11.5,72.5,0.117,6,6,2019-11-03,,DAL,L,111,131,39,96,0.406,18,48,0.375,15,22,0.682,12,41,24,9,4,9,14
7,7,2019-11-05,,BOS,L,113,119,112.5,118.4,100.5,0.232,0.347,0.54,48.9,55,3,10.9,,0.489,7.9,21.2,0.211,,0.635,13.3,88.9,0.129,7,7,2019-11-05,,BOS,L,113,119,40,95,0.421,13,33,0.394,20,22,0.909,11,43,22,3,6,9,18
8,8,2019-11-08,@,WAS,W,113,100,117.9,104.3,95.9,0.322,0.3,0.55,50.5,43.9,10.4,7.7,,0.489,10.5,36.2,0.278,,0.505,15.4,64.6,0.031,8,8,2019-11-08,@,WAS,W,113,100,41,90,0.456,6,27,0.222,25,29,0.862,17,48,18,10,5,12,17
9,9,2019-11-10,@,NYK,W,108,87,109.9,88.6,98.2,0.378,0.341,0.565,46.4,55.6,11.2,3.6,,0.488,12.8,20.5,0.341,,0.413,17.8,67.9,0.186,9,9,2019-11-10,@,NYK,W,108,87,36,82,0.439,8,28,0.286,28,31,0.903,9,45,20,11,2,14,19
10,10,2019-11-12,@,PHI,L,97,98,100.8,101.9,96.2,0.233,0.244,0.512,49.5,34.2,10.4,0,,0.471,12.1,20.5,0.186,,0.494,12.9,76.6,0.112,10,10,2019-11-12,@,PHI,L,97,98,38,86,0.442,5,21,0.238,16,20,0.8,9,45,13,10,0,13,13
11,11,2019-11-14,,MIA,L,97,108,98.9,110.1,98.1,0.247,0.376,0.515,50,50,14.3,4.1,,0.471,16,22.9,0.2,,0.62,17.7,88.2,0.127,11,11,2019-11-14,,MIA,L,97,108,36,85,0.424,8,32,0.25,17,21,0.81,11,41,18,14,2,18,16
12,12,2019-11-17,,PHI,L,95,114,95.1,114.1,99.9,0.267,0.278,0.472,48.8,41.2,9,8.2,,0.411,12.2,21.6,0.233,,0.601,12.4,88.6,0.155,12,12,2019-11-17,,PHI,L,95,114,34,90,0.378,6,25,0.24,21,24,0.875,11,42,14,9,5,14,21
13,13,2019-11-18,@,NYK,L,105,123,108.9,127.6,96.4,0.395,0.474,0.589,46.6,50,2.1,1.3,,0.586,17.6,26.3,0.211,,0.49,5.8,62,0.276,13,13,2019-11-18,@,NYK,L,105,123,36,76,0.474,17,36,0.472,16,30,0.533,10,41,18,2,1,19,26
14,14,2019-11-20,@,MIA,L,100,124,100.1,124.1,99.9,0.184,0.437,0.532,43.6,51.4,13,4.9,,0.494,16.8,23.8,0.161,,0.647,20.1,66.7,0.295,14,14,2019-11-20,@,MIA,L,100,124,37,87,0.425,12,38,0.316,14,16,0.875,10,34,19,13,2,19,23
15,15,2019-11-22,@,DAL,L,101,143,106.3,150.5,95,0.198,0.337,0.54,41,62.2,3.2,4.8,,0.5,9.7,17,0.174,,0.68,4.6,72.2,0.07,15,15,2019-11-22,@,DAL,L,101,143,37,86,0.43,12,29,0.414,15,17,0.882,8,34,23,3,3,10,15
16,16,2019-11-23,,POR,W,110,104,111,105,99.1,0.368,0.356,0.544,57.8,51.4,9.1,4.3,,0.483,11.4,22,0.299,,0.529,9.6,87.8,0.138,16,16,2019-11-23,,POR,W,110,104,37,87,0.425,10,31,0.323,26,32,0.813,9,52,19,9,2,13,14
17,17,2019-11-25,,BRK,L,106,108,111.2,113.3,95.3,0.213,0.34,0.516,48.4,60,5.2,6.7,,0.495,8.9,25,0.138,,0.527,8.3,73.3,0.096,17,17,2019-11-25,,BRK,L,106,108,40,94,0.426,13,32,0.406,13,20,0.65,12,45,24,5,4,10,14
18,18,2019-11-27,,ORL,L,104,116,101.8,113.6,102.2,0.272,0.42,0.573,59,54.1,4.9,0,,0.525,21.6,30,0.235,,0.548,9.9,86,0.151,18,18,2019-11-27,,ORL,L,104,116,37,81,0.457,11,34,0.324,19,22,0.864,12,49,20,5,0,25,15
19,19,2019-11-29,,MIL,L,110,119,112.2,121.3,98.1,0.114,0.386,0.595,46.6,72.7,7.1,1.9,,0.597,13.2,18.2,0.057,,0.58,11.7,75,0.193,19,19,2019-11-29,,MIL,L,110,119,44,88,0.5,17,34,0.5,5,10,0.5,8,41,32,7,1,14,22
20,20,2019-12-03,,DET,L,94,127,98.4,133,95.5,0.156,0.3,0.489,46.5,42.1,6.3,10.2,,0.467,11.9,25,0.111,,0.638,9.2,73.7,0.074,20,20,2019-12-03,,DET,L,94,127,38,90,0.422,8,27,0.296,10,14,0.714,12,40,16,6,6,13,11
21,21,2019-12-06,,ORL,L,87,93,92.9,99.3,93.7,0.12,0.41,0.498,51.1,62.9,9.6,12.5,,0.482,15.5,23.3,0.084,,0.445,15.6,77.8,0.244,21,21,2019-12-06,,ORL,L,87,93,35,83,0.422,10,34,0.294,7,10,0.7,10,45,22,9,7,16,19
22,22,2019-12-07,@,PHI,L,94,141,92.6,138.9,101.5,0.177,0.365,0.454,40.7,55.6,3.9,0,,0.422,14.1,21.2,0.135,,0.694,7.4,70.6,0.178,22,22,2019-12-07,@,PHI,L,94,141,36,96,0.375,9,35,0.257,13,17,0.765,11,35,20,4,0,17,17
23,23,2019-12-09,@,BOS,L,88,110,92.7,115.8,95,0.209,0.341,0.443,53.6,50,8.4,3.9,,0.434,15.3,34.6,0.099,,0.673,18.1,84.4,0.064,23,23,2019-12-09,@,BOS,L,88,110,36,91,0.396,7,31,0.226,9,19,0.474,18,45,18,8,2,18,11
24,24,2019-12-11,,HOU,L,110,116,117.9,124.3,93.3,0.09,0.36,0.594,50,63,8.6,8.9,,0.59,14,26.5,0.056,,0.592,12.3,71.1,0.149,24,24,2019-12-11,,HOU,L,110,116,46,89,0.517,13,32,0.406,5,8,0.625,9,36,29,8,4,15,15
25,25,2019-12-12,@,SAS,W,117,109,109.3,101.8,97,0.208,0.469,0.558,58.1,50,5.6,4.3,,0.536,14.7,24.4,0.146,,0.517,11,95.1,0.233,25,25,2019-12-12,@,SAS,W,117,109,44,96,0.458,15,45,0.333,14,20,0.7,11,50,22,6,3,18,22
26,26,2019-12-14,@,MIL,L,108,125,108.4,125.5,99.6,0.167,0.389,0.559,52.3,65.9,10,6.3,,0.539,15.7,26.7,0.122,,0.624,11.1,80.5,0.224,26,26,2019-12-14,@,MIL,L,108,125,41,90,0.456,15,35,0.429,11,15,0.733,12,45,27,10,3,18,19
27,27,2019-12-16,@,TOR,L,113,133,117.1,137.9,96.5,0.189,0.389,0.58,48.8,68.2,6.2,1.8,,0.556,9.3,20.5,0.144,,0.674,6.8,83.3,0.146,27,27,2019-12-16,@,TOR,L,113,133,44,90,0.489,12,35,0.343,13,17,0.765,9,39,30,6,1,10,15
28,28,2019-12-18,,CHO,W,100,98,109.6,107.4,91.3,0.23,0.351,0.614,57.8,62.5,7.7,5.6,,0.588,22,33.3,0.176,,0.478,8.3,71.7,0.121,28,28,2019-12-18,,CHO,W,100,98,40,74,0.541,7,26,0.269,13,17,0.765,10,48,25,7,3,23,21
29,29,2019-12-20,,MEM,W,114,107,114.9,107.9,99.2,0.25,0.402,0.558,56.6,65,4,16.4,,0.527,12.1,30.8,0.185,,0.5,6.2,81.5,0.049,29,29,2019-12-20,,MEM,W,114,107,40,92,0.435,17,37,0.459,17,23,0.739,16,60,26,4,10,14,12
30,30,2019-12-23,,ATL,W,121,118,107,104.3,113.1,0.125,0.302,0.597,53.8,38,7.1,11.3,,0.578,18.5,17.9,0.104,,0.553,13.5,87.8,0.137,30,30,2019-12-23,,ATL,W,121,118,50,96,0.521,11,29,0.379,10,12,0.833,7,43,19,8,6,23,16
31,31,2019-12-27,@,BOS,L,117,129,116.6,128.6,100.3,0.341,0.271,0.598,46.9,50,7,5.5,,0.571,10.1,16.2,0.235,,0.589,9.6,72.7,0.179,31,31,2019-12-27,@,BOS,L,117,129,44,85,0.518,9,23,0.391,20,29,0.69,6,38,22,7,3,11,17
32,32,2019-12-28,@,MIN,W,94,88,91.2,85.4,103.1,0.468,0.26,0.506,60,40.6,8.7,7.1,,0.442,23.2,35,0.338,,0.398,15.1,76.7,0.151,32,32,2019-12-28,@,MIN,W,94,88,32,77,0.416,4,20,0.2,26,36,0.722,14,60,13,9,4,28,21
33,33,2019-12-31,@,TOR,L,97,117,101.3,122.2,95.7,0.184,0.437,0.516,47.7,56.8,5.2,8.9,,0.483,13,18.6,0.149,,0.577,10.4,76.7,0.238,33,33,2019-12-31,@,TOR,L,97,117,37,87,0.425,10,38,0.263,13,16,0.813,8,41,21,5,4,14,19
34,34,2020-01-02,,CHO,L,106,109,114.6,117.9,92.5,0.173,0.432,0.608,51.9,63.4,6.5,6.7,,0.586,13.8,19.4,0.136,,0.536,10.5,77.8,0.241,34,34,2020-01-02,,CHO,L,106,109,41,81,0.506,13,35,0.371,11,14,0.786,7,42,26,6,3,14,22
35,35,2020-01-04,,OKC,L,106,121,110.5,126.1,95.9,0.2,0.353,0.573,44.7,48.7,4.2,0,,0.541,12.3,20.9,0.165,,0.521,9.3,64.7,0.219,35,35,2020-01-04,,OKC,L,106,121,39,85,0.459,14,30,0.467,14,17,0.824,9,42,19,4,0,13,26
36,36,2020-01-05,,MIN,L,103,118,103.8,119,99.2,0.226,0.298,0.558,50.6,37.5,6,3.5,,0.524,17.8,29.3,0.179,,0.568,13.7,69.6,0.105,36,36,2020-01-05,,MIN,L,103,118,40,84,0.476,8,25,0.32,15,19,0.789,12,44,15,6,2,20,13
37,37,2020-01-07,,DET,L,113,115,117.8,119.9,95.9,0.188,0.365,0.614,53.5,69,7.3,6.9,,0.576,14.8,26.8,0.176,,0.533,8.2,77.8,0.198,37,37,2020-01-07,,DET,L,113,115,42,85,0.494,14,31,0.452,15,16,0.938,11,46,29,7,4,16,19
38,38,2020-01-09,@,DET,W,115,112,115.7,112.7,90,0.22,0.22,0.576,45.9,50,9.1,6.4,,0.555,12.3,27,0.154,,0.52,12.5,60.4,0.102,38,38,2020-01-09,@,DET,W,115,112,48,91,0.527,5,20,0.25,14,20,0.7,10,39,24,9,5,14,18
39,39,2020-01-11,@,DEN,W,111,103,116.7,108.3,95.1,0.146,0.416,0.586,56.7,50,5.3,1.8,,0.562,12.9,27.9,0.124,,0.474,4.6,79.6,0.137,39,39,2020-01-11,@,DEN,W,111,103,44,89,0.494,12,37,0.324,11,13,0.846,12,55,22,5,1,14,19
40,40,2020-01-13,@,LAL,L,99,128,99.6,128.7,99.4,0.282,0.294,0.518,47.1,55.3,4,1.7,,0.488,16.6,22.7,0.188,,0.608,8.2,73.2,0.239,40,40,2020-01-13,@,LAL,L,99,128,38,85,0.447,7,25,0.28,16,24,0.667,10,40,21,4,1,19,22
41,41,2020-01-14,@,LAC,L,103,128,103.5,128.6,99.5,0.165,0.407,0.528,43,65.8,5,10.7,,0.495,11.8,17,0.143,,0.601,9.6,69.6,0.16,41,41,2020-01-14,@,LAC,L,103,128,38,91,0.418,14,37,0.378,13,15,0.867,8,40,25,5,6,13,21
42,42,2020-01-17,@,MEM,L,109,113,108,111.9,100.9,0.283,0.391,0.527,53.2,43.9,5.9,3.3,,0.495,12.7,30.2,0.196,,0.556,10.9,82.9,0.157,42,42,2020-01-17,@,MEM,L,109,113,41,92,0.446,9,36,0.25,18,26,0.692,16,50,18,6,2,15,19
43,43,2020-01-18,@,CHI,L,116,118,115.2,117.2,100.7,0.315,0.397,0.698,58.1,67.5,5,8.1,,0.651,24.5,24.1,0.288,,0.603,11.3,87.9,0.149,43,43,2020-01-18,@,CHI,L,116,118,40,73,0.548,15,29,0.517,21,23,0.913,7,36,27,5,5,27,18
44,44,2020-01-20,,NYK,L,86,106,92.1,113.5,93.4,0.181,0.351,0.424,52,46.9,5.4,6.5,,0.399,9,27.6,0.117,,0.535,9.8,84.1,0.176,44,44,2020-01-20,,NYK,L,86,106,32,94,0.34,11,33,0.333,11,17,0.647,16,53,15,5,4,10,14
45,45,2020-01-23,,WAS,L,112,124,116.8,129.3,95.9,0.177,0.344,0.541,46.8,54.5,7.3,2,,0.516,7.2,22.7,0.135,,0.647,9.7,78.8,0.165,45,45,2020-01-23,,WAS,L,112,124,44,96,0.458,11,33,0.333,13,17,0.765,10,36,24,7,1,8,21
46,46,2020-01-25,,CHI,L,106,118,110,122.4,96.4,0.131,0.357,0.597,54.4,71.4,5.2,1.9,,0.577,19.1,27.5,0.107,,0.588,8.6,82.1,0.212,46,46,2020-01-25,,CHI,L,106,118,42,84,0.5,13,30,0.433,9,11,0.818,11,43,30,5,1,21,20
47,47,2020-01-27,@,DET,W,115,100,116.6,101.4,98.6,0.135,0.25,0.565,54.9,52.1,9.1,12.2,,0.547,11.3,28.2,0.104,,0.524,15.7,79.1,0.143,47,47,2020-01-27,@,DET,W,115,100,48,96,0.5,9,24,0.375,10,13,0.769,11,45,25,9,6,13,21
48,48,2020-01-28,,NOP,L,111,125,109,122.7,101.9,0.186,0.351,0.529,52.9,59.5,6.9,3.7,,0.49,9.5,29.2,0.165,,0.608,14,82.1,0.205,48,48,2020-01-28,,NOP,L,111,125,42,97,0.433,11,34,0.324,16,18,0.889,14,46,25,7,2,11,20
49,49,2020-01-30,,TOR,L,109,115,110.2,116.2,98.9,0.156,0.4,0.567,58.4,54.8,7.1,5.8,,0.539,17.9,34.9,0.133,,0.56,11.9,80.4,0.25,49,49,2020-01-30,,TOR,L,109,115,42,90,0.467,13,36,0.361,12,14,0.857,15,52,23,7,3,21,21
50,50,2020-02-01,,GSW,L,112,131,113.3,132.5,98.9,0.147,0.463,0.554,51.1,63.4,8.1,5.5,,0.516,12.9,27.7,0.147,,0.633,10.1,76.7,0.189,50,50,2020-02-01,,GSW,L,112,131,41,95,0.432,16,44,0.364,14,14,1,13,46,26,8,3,15,15
51,51,2020-02-03,,NYK,L,134,139,124.1,128.7,97.8,0.196,0.38,0.671,42.5,65.4,5.6,3.9,,0.663,12.3,12.8,0.13,,0.608,9.7,70.7,0.147,51,51,2020-02-03,,NYK,L,134,139,52,92,0.565,18,35,0.514,12,18,0.667,5,34,34,6,3,14,18
52,52,2020-02-05,@,OKC,L,103,109,102.3,108.3,100.6,0.124,0.427,0.549,52.9,75.6,4,3.6,,0.545,16.8,20.5,0.067,,0.525,11.3,87.8,0.296,52,52,2020-02-05,@,OKC,L,103,109,41,89,0.461,15,38,0.395,6,11,0.545,9,45,31,4,2,19,24
53,53,2020-02-09,,LAC,L,92,133,90.6,131,101.6,0.232,0.347,0.439,46.4,62.9,8.9,1.8,,0.405,13.3,27.6,0.158,,0.634,9.8,74.4,0.161,53,53,2020-02-09,,LAC,L,92,133,35,95,0.368,7,33,0.212,15,22,0.682,16,45,22,9,1,16,17
54,54,2020-02-12,,ATL,W,127,105,124.5,103,102,0.266,0.298,0.605,59.1,52.1,7.8,12,,0.564,13.9,37,0.223,,0.506,15.2,80.9,0.238,54,54,2020-02-12,,ATL,W,127,105,48,94,0.511,10,28,0.357,21,25,0.84,17,55,25,8,6,17,22
55,55,2020-02-21,@,WAS,W,113,108,109.6,104.8,103.1,0.309,0.333,0.614,50,44.2,2.9,8.7,,0.599,18.6,25,0.198,,0.429,8.7,68.5,0.16,55,55,2020-02-21,@,WAS,W,113,108,43,81,0.531,11,27,0.407,16,25,0.64,10,47,19,3,6,21,24
56,56,2020-02-22,@,MIA,L,105,124,107.2,126.5,98,0.278,0.456,0.592,58,76.3,8.2,5.1,,0.563,21.3,30.6,0.203,,0.69,14.6,87.9,0.19,56,56,2020-02-22,@,MIA,L,105,124,38,79,0.481,13,36,0.361,16,22,0.727,11,40,29,8,2,24,18
57,57,2020-02-24,,MIA,W,125,119,116.7,111.1,97,0.351,0.381,0.558,52,58.1,7.5,11.1,,0.515,9.7,24.5,0.258,,0.542,10.3,81.6,0.156,57,57,2020-02-24,,MIA,W,125,119,43,97,0.443,14,37,0.378,25,34,0.735,13,53,25,8,6,12,20
58,58,2020-02-26,,PHI,W,108,94,117,101.8,92.3,0.218,0.308,0.632,60.8,58.5,5.4,7.8,,0.596,17.4,28.1,0.192,,0.478,7.8,83,0.101,58,58,2020-02-26,,PHI,W,108,94,41,78,0.526,11,24,0.458,15,17,0.882,9,48,24,5,4,18,16
59,59,2020-02-28,@,NOP,L,104,116,105.2,117.4,98.8,0.126,0.326,0.519,41,62.8,7.1,3.1,,0.511,12.3,21.3,0.074,,0.597,14.5,66.7,0.125,59,59,2020-02-28,@,NOP,L,104,116,43,95,0.453,11,31,0.355,7,12,0.583,10,34,27,7,2,14,13
60,60,2020-02-29,,IND,L,104,113,106.8,116.1,97.4,0.235,0.259,0.554,48.6,73.2,9.2,4.7,,0.512,12.2,16.7,0.2,,0.586,12.2,78.9,0.126,60,60,2020-02-29,,IND,L,104,113,41,85,0.482,5,22,0.227,17,20,0.85,6,36,30,9,3,13,13
61,61,2020-03-02,,UTA,L,113,126,120.9,134.8,93.5,0.198,0.451,0.571,43.4,66.7,10.7,2.4,,0.555,5.7,22,0.132,,0.687,14.4,75.8,0.145,61,61,2020-03-02,,UTA,L,113,126,42,91,0.462,17,41,0.415,12,18,0.667,11,36,28,10,1,6,18
62,62,2020-03-04,,BOS,L,106,112,114.4,120.9,92.7,0.225,0.427,0.542,50.5,61.5,6.5,3.6,,0.511,10.9,32.1,0.169,,0.529,10.1,71.7,0.244,62,62,2020-03-04,,BOS,L,106,112,39,89,0.438,13,38,0.342,15,20,0.75,17,50,24,6,2,12,19
63,63,2020-03-07,,DEN,W,104,102,110.8,108.6,93.9,0.158,0.368,0.64,54.2,76.2,8.5,3.8,,0.632,20.5,25,0.105,,0.582,16.1,77.5,0.035,63,63,2020-03-07,,DEN,W,104,102,42,76,0.553,12,28,0.429,8,12,0.667,8,39,32,8,2,21,17
64,64,2020-03-08,,SAS,W,132,129,114.8,112.2,104.1,0.479,0.362,0.58,57.7,60.5,3.5,5.6,,0.527,13.7,26.9,0.351,,0.49,7.3,88.5,0.337,64,64,2020-03-08,,SAS,W,132,129,43,94,0.457,13,34,0.382,33,45,0.733,14,60,26,4,4,18,24
